Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1523840548910,326833095040214,0.86220706,-0.364043,9.881851
android.sensor.accelerometer,1523840548925,326833115143552,0.86220706,-0.36883304,9.848321
android.sensor.accelerometer,1523840548934,326833135243648,0.85741705,-0.39278322,9.891431
android.sensor.accelerometer,1523840548955,326833155343616,0.8813672,-0.38320315,9.891431
android.sensor.accelerometer,1523840548975,326833175443712,0.8669971,-0.37362307,9.901011
android.sensor.accelerometer,1523840548997,326833195543808,0.8669971,-0.364043,9.867481
android.sensor.accelerometer,1523840549015,326833215641161,0.86220706,-0.37362307,9.867481
android.sensor.accelerometer,1523840549035,326833235741129,0.86220706,-0.35925296,9.862691
android.sensor.accelerometer,1523840549055,326833255841097,0.8813672,-0.38320315,9.896221
android.sensor.accelerometer,1523840549077,326833275941065,0.8765772,-0.39757326,9.891431
android.sensor.accelerometer,1523840549095,326833296041033,0.8669971,-0.36883304,9.877061
android.sensor.accelerometer,1523840549116,326833316134686,0.8765772,-0.36883304,9.867481
android.sensor.accelerometer,1523840549135,326833336234526,0.86220706,-0.36883304,9.8866415
android.sensor.accelerometer,1523840549157,326833356334366,0.8669971,-0.37362307,9.896221
android.sensor.accelerometer,1523840549175,326833376434334,0.8669971,-0.38320315,9.881851
android.sensor.accelerometer,1523840549195,326833396534174,0.8430469,-0.35925296,9.8866415
android.sensor.accelerometer,1523840549216,326833416637531,0.86220706,-0.364043,9.862691
android.sensor.accelerometer,1523840549238,326833436737499,0.86220706,-0.3544629,9.872271
android.sensor.accelerometer,1523840549256,326833456837467,0.87178713,-0.36883304,9.905801
android.sensor.accelerometer,1523840549276,326833476937435,0.86220706,-0.38320315,9.891431
android.sensor.accelerometer,1523840549297,326833497037403,0.85741705,-0.3784131,9.891431
android.sensor.accelerometer,1523840549320,326833517134335,0.85741705,-0.36883304,9.862691
android.sensor.accelerometer,1523840549340,326833537234303,0.85741705,-0.364043,9.8866415
android.sensor.accelerometer,1523840549360,326833557334271,0.86220706,-0.38320315,9.8866415
android.sensor.accelerometer,1523840549378,326833577434111,0.8765772,-0.39757326,9.872271
android.sensor.accelerometer,1523840549401,326833597534079,0.8669971,-0.3879932,9.901011
android.sensor.accelerometer,1523840549418,326833617585785,0.87178713,-0.364043,9.872271
android.sensor.accelerometer,1523840549438,326833637684601,0.87178713,-0.35925296,9.85311
android.sensor.accelerometer,1523840549459,326833657783545,0.86220706,-0.3784131,9.891431
android.sensor.accelerometer,1523840549481,326833677882489,0.8669971,-0.38320315,9.896221
android.sensor.accelerometer,1523840549499,326833697981433,0.8669971,-0.37362307,9.877061
android.sensor.accelerometer,1523840549519,326833718082754,0.847837,-0.36883304,9.905801
android.sensor.accelerometer,1523840549539,326833738181698,0.86220706,-0.3784131,9.8866415
android.sensor.accelerometer,1523840549561,326833758280642,0.8669971,-0.38320315,9.8866415
android.sensor.accelerometer,1523840549579,326833778379458,0.8669971,-0.364043,9.881851
android.sensor.accelerometer,1523840549599,326833798478402,0.86220706,-0.37362307,9.877061
android.sensor.accelerometer,1523840549619,326833818580485,0.85741705,-0.3784131,9.8866415
android.sensor.accelerometer,1523840549643,326833838679301,0.847837,-0.3784131,9.877061
android.sensor.accelerometer,1523840549660,326833858778245,0.85741705,-0.37362307,9.896221
android.sensor.accelerometer,1523840549680,326833878877189,0.87178713,-0.37362307,9.901011
android.sensor.accelerometer,1523840549700,326833898975133,0.87178713,-0.364043,9.857901
android.sensor.accelerometer,1523840549722,326833919082841,0.8669971,-0.37362307,9.901011
android.sensor.accelerometer,1523840549740,326833939181913,0.87178713,-0.364043,9.910591
android.sensor.accelerometer,1523840549760,326833959280857,0.86220706,-0.36883304,9.891431
android.sensor.accelerometer,1523840549779,326833979379929,0.8669971,-0.3784131,9.910591
android.sensor.accelerometer,1523840549802,326833999479001,0.87178713,-0.3784131,9.848321
android.sensor.accelerometer,1523840549819,326834019589959,0.86220706,-0.38320315,9.891431
android.sensor.accelerometer,1523840549842,326834039689159,0.86220706,-0.36883304,9.891431
android.sensor.accelerometer,1523840549860,326834059788359,0.85741705,-0.37362307,9.891431
android.sensor.accelerometer,1523840549882,326834079887559,0.85741705,-0.37362307,9.910591
android.sensor.accelerometer,1523840549900,326834099986759,0.8669971,-0.3784131,9.862691
android.sensor.accelerometer,1523840549920,326834120092294,0.8669971,-0.35925296,9.8866415
android.sensor.accelerometer,1523840549939,326834140191622,0.85741705,-0.3784131,9.891431
android.sensor.accelerometer,1523840549961,326834160290950,0.8669971,-0.39278322,9.891431
android.sensor.accelerometer,1523840549979,326834180390278,0.8669971,-0.3879932,9.901011
android.sensor.accelerometer,1523840550000,326834200489606,0.86220706,-0.38320315,9.891431
android.sensor.accelerometer,1523840550019,326834220593361,0.8765772,-0.37362307,9.910591
android.sensor.accelerometer,1523840550042,326834240692689,0.87178713,-0.37362307,9.910591
