Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1523840999519,327283230043810,0.98195803,3.530259,8.981323
android.sensor.accelerometer,1523840999530,327283250143778,0.8334668,3.5063088,8.818462
android.sensor.accelerometer,1523840999552,327283270243746,0.62749517,3.4919386,8.952583
android.sensor.accelerometer,1523840999570,327283290343714,0.39757326,3.4823585,8.823253
android.sensor.accelerometer,1523840999590,327283310443682,0.32572266,3.439248,8.842413
android.sensor.accelerometer,1523840999611,327283330537329,0.23471193,3.4344583,9.038804
android.sensor.accelerometer,1523840999632,327283350637169,0.043110352,3.391348,9.115445
android.sensor.accelerometer,1523840999651,327283370737009,-0.21555176,3.290757,9.3453665
android.sensor.accelerometer,1523840999671,327283390836721,-0.6179151,3.1853762,9.68067
android.sensor.accelerometer,1523840999690,327283410936561,-0.9148975,3.046465,9.73815
android.sensor.accelerometer,1523840999713,327283431029388,-1.3843213,2.6776319,10.408755
android.sensor.accelerometer,1523840999732,327283451129100,-2.0309765,2.2608986,11.721226
android.sensor.accelerometer,1523840999751,327283471228684,-2.7255323,2.2177882,13.095967
android.sensor.accelerometer,1523840999772,327283491328396,-3.9517825,1.9734962,14.226417
android.sensor.accelerometer,1523840999794,327283511427980,-4.478687,2.42376,13.594131
android.sensor.accelerometer,1523840999812,327283531520079,-5.5468655,4.3062453,13.642032
android.sensor.accelerometer,1523840999832,327283551619535,-5.125342,3.8416114,12.789405
android.sensor.accelerometer,1523840999852,327283571718991,-6.471343,3.755391,12.516373
android.sensor.accelerometer,1523840999874,327283591818447,-6.4138627,3.6739602,14.082715
android.sensor.accelerometer,1523840999892,327283611917903,-3.6021094,4.028423,14.437179
android.sensor.accelerometer,1523840999912,327283632016103,-0.20597169,4.4595265,14.015655
android.sensor.accelerometer,1523840999932,327283652115559,-0.9580079,3.6068995,15.744859
android.sensor.accelerometer,1523840999954,327283672215015,0.17723145,3.5925295,15.941251
android.sensor.accelerometer,1523840999972,327283692314343,2.083667,2.6584718,16.798668
android.sensor.accelerometer,1523840999992,327283712413799,3.7074904,1.4034815,17.933907
android.sensor.accelerometer,1523841000013,327283732512504,6.1695704,0.38320315,18.30753
android.sensor.accelerometer,1523841000033,327283752611832,7.4006104,1.7292042,18.12551
android.sensor.accelerometer,1523841000054,327283772711288,10.423125,0.79993653,18.547031
android.sensor.accelerometer,1523841000072,327283792810616,13.876743,0.0047900393,17.785416
android.sensor.accelerometer,1523841000092,327283812909944,13.560601,0.728086,16.405884
android.sensor.accelerometer,1523841000114,327283833011144,16.252604,-1.2933106,14.60483
