Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1523840968205,327251894336321,-0.2149172,-0.033474684,-0.006977479
android.sensor.gyroscope,1523840968221,327251914436289,0.04980102,-0.30831292,-0.11297129
android.sensor.gyroscope,1523840968225,327251934536129,0.2031991,-0.40471935,-0.26530412
android.sensor.gyroscope,1523840968244,327251954627832,0.13662007,-0.19805804,-0.35478634
android.sensor.gyroscope,1523840968264,327251974727544,-0.10359705,0.11406444,-0.51031494
android.sensor.gyroscope,1523840968288,327251994827384,-0.31824785,0.31007308,-0.5630455
android.sensor.gyroscope,1523840968305,327252014927224,-0.37364158,0.26000565,-0.55771923
android.sensor.gyroscope,1523840968326,327252035026936,-0.39175108,0.16839293,-0.54653394
android.sensor.gyroscope,1523840968346,327252055129793,-0.5605955,0.36227104,-0.60459083
android.sensor.gyroscope,1523840968368,327252075229505,-0.45886275,0.2983552,-0.5529255
android.sensor.gyroscope,1523840968386,327252095329345,-0.2660499,0.22644985,-0.46770436
android.sensor.gyroscope,1523840968409,327252115429185,0.014643012,0.06773399,-0.26370078
android.sensor.gyroscope,1523840968426,327252135529025,0.22077169,-0.15863472,-0.008569972
android.sensor.gyroscope,1523840968449,327252155620545,0.20372745,-0.16928737,0.15335022
android.sensor.gyroscope,1523840968467,327252175720129,0.12223472,-0.2278769,0.23431033
android.sensor.gyroscope,1523840968487,327252195819713,0.07802624,-0.3056412,0.2172661
android.sensor.gyroscope,1523840968507,327252215919425,0.097201005,-0.17780948,0.21939662
android.sensor.gyroscope,1523840968530,327252236016060,0.26338226,-0.25663903,0.3408368
android.sensor.gyroscope,1523840968548,327252256112645,0.3816266,-0.6012521,0.3509568
android.sensor.gyroscope,1523840968568,327252276212229,0.47323936,-0.7525196,0.3861105
android.sensor.gyroscope,1523840968587,327252296311813,0.5531342,-0.75837857,0.44789585
android.sensor.gyroscope,1523840968610,327252316411269,0.64900804,-1.0220315,0.5080833
android.sensor.gyroscope,1523840968630,327252336510853,0.5350247,-1.5685122,0.77972573
android.sensor.gyroscope,1523840968648,327252356612302,0.28522018,-1.9860959,1.1674819
android.sensor.gyroscope,1523840968668,327252376711886,0.37683293,-2.5709262,1.332598
android.sensor.gyroscope,1523840968691,327252396811342,0.9653916,-3.5946453,1.1722757
android.sensor.gyroscope,1523840968708,327252416910926,1.627986,-4.4836082,1.1158166
