Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1523840426516,326710708076813,0.028091198,0.07172298,0.122213095
android.sensor.gyroscope,1523840426527,326710728177488,-0.10027317,0.16333573,0.08120041
android.sensor.gyroscope,1523840426547,326710748276688,-0.1817659,0.33484328,0.021545606
android.sensor.gyroscope,1523840426567,326710768376016,-0.12211109,0.48078454,-0.031717617
android.sensor.gyroscope,1523840426587,326710788475216,-0.008127795,0.48344767,-0.07752399
android.sensor.gyroscope,1523840426608,326710808574544,0.011579597,0.45202237,-0.087644
android.sensor.gyroscope,1523840426628,326710828672715,-0.065119445,0.47918662,-0.07006714
android.sensor.gyroscope,1523840426648,326710848772043,-0.09547948,0.5494941,-0.1222651
android.sensor.gyroscope,1523840426669,326710868871371,-0.045944683,0.6618795,-0.18777886
android.sensor.gyroscope,1523840426689,326710888970699,0.045668058,0.83711547,-0.18671359
android.sensor.gyroscope,1523840426709,326710909070027,0.20226194,0.92926085,-0.1371788
android.sensor.gyroscope,1523840426733,326710929182411,0.29387718,0.92233163,-0.04024288
android.sensor.gyroscope,1523840426751,326710949281867,0.22090656,0.8637421,0.07800148
android.sensor.gyroscope,1523840426771,326710969381451,0.04087686,0.79396725,0.1296668
android.sensor.gyroscope,1523840426791,326710989481035,-0.092813835,0.7348451,0.10623098
android.sensor.gyroscope,1523840426812,326711009580619,-0.023571638,0.6618745,0.067881465
android.sensor.gyroscope,1523840426830,326711029682598,0.09200955,0.59369755,0.02953194
android.sensor.gyroscope,1523840426851,326711049782182,0.06005162,0.5436301,-0.017339693
android.sensor.gyroscope,1523840426871,326711069881894,-0.17750235,0.4179289,-0.1712704
android.sensor.gyroscope,1523840426890,326711089981478,-0.5892271,0.16918966,-0.36035487
android.sensor.gyroscope,1523840426911,326711110081190,-0.77191997,0.12498119,-0.3773991
android.sensor.gyroscope,1523840426931,326711130185662,-0.6914925,0.2725203,-0.14836723
android.sensor.gyroscope,1523840426950,326711150287524,-0.8512821,0.4179289,0.14830893
android.sensor.gyroscope,1523840426971,326711170387236,-0.9572759,0.67305976,0.52807575
android.sensor.gyroscope,1523840426992,326711190486948,-1.0899013,0.39396048,0.7624339
android.sensor.gyroscope,1523840427012,326711210586660,-1.2566152,-0.2712972,1.1832134
android.sensor.gyroscope,1523840427032,326711230687524,-0.8289116,-0.4252279,1.7573909
android.sensor.gyroscope,1523840427052,326711250787236,-0.12956546,-0.28461298,1.786153
android.sensor.gyroscope,1523840427073,326711270886948,0.079226375,-0.4465332,1.3350135
android.sensor.gyroscope,1523840427092,326711290986788,0.2624519,-0.98342645,1.1640385
android.sensor.gyroscope,1523840427112,326711311086500,0.43342683,-1.5101998,1.3738956
android.sensor.gyroscope,1523840427133,326711331182000,0.32370457,-1.6034104,1.7563256
android.sensor.gyroscope,1523840427153,326711351281584,-0.07843276,-1.3168542,2.021044
android.sensor.gyroscope,1523840427173,326711371381168,-0.37936994,-0.9674475,2.0348923
android.sensor.gyroscope,1523840427193,326711391480752,-0.32291093,-0.9461422,2.0476756
android.sensor.gyroscope,1523840427214,326711411580336,-0.36658677,-1.2374921,2.133962
android.sensor.gyroscope,1523840427235,326711431684845,-0.4752505,-1.3599839,2.2665958
android.sensor.gyroscope,1523840427253,326711451784557,-0.555678,-1.3738323,2.5707288
android.sensor.gyroscope,1523840427274,326711471884269,-0.4928274,-1.3999313,2.8418386
android.sensor.gyroscope,1523840427293,326711491984109,-0.1972165,-1.2843502,2.9552891
android.sensor.gyroscope,1523840427313,326711512083821,0.043000627,-1.1405394,3.1294599
android.sensor.gyroscope,1523840427333,326711532180839,0.01903218,-1.1916721,3.3867214
android.sensor.gyroscope,1523840427353,326711552280551,-0.0145236505,-1.404725,3.4980414
android.sensor.gyroscope,1523840427372,326711572380391,0.08081751,-1.3823544,3.6887238
android.sensor.gyroscope,1523840427392,326711592480103,0.3732326,-0.92269284,3.9614315
android.sensor.gyroscope,1523840427414,326711612579815,0.64327717,-0.30217624,4.021619
android.sensor.gyroscope,1523840427434,326711632681795,0.8712438,-0.2036393,3.8325346
android.sensor.gyroscope,1523840427455,326711652781635,0.71731305,-0.9290844,3.7872608
android.sensor.gyroscope,1523840427474,326711672881475,0.23368298,-1.7200433,3.7686186
android.sensor.gyroscope,1523840427495,326711692981315,-0.16525857,-1.4473356,3.759564
android.sensor.gyroscope,1523840427515,326711713081155,-0.24249023,-1.0100445,3.262618
