Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1523841009871,327293581473542,4.402046,7.6353226,4.91937
android.sensor.accelerometer,1523841009888,327293601573510,4.4547367,7.6353226,4.9481106
android.sensor.accelerometer,1523841009901,327293621673478,4.119434,7.793394,4.991221
android.sensor.accelerometer,1523841009921,327293641773446,3.6308498,7.941885,5.3073635
android.sensor.accelerometer,1523841009948,327293661873414,3.7170706,7.8844047,5.589976
android.sensor.accelerometer,1523841009964,327293681964604,4.0811133,7.7359133,5.839058
android.sensor.accelerometer,1523841009983,327293702064444,4.3014555,7.7454934,5.6282964
android.sensor.accelerometer,1523841010008,327293722164284,3.9422023,7.812554,5.1828227
android.sensor.accelerometer,1523841010023,327293742263996,3.7601807,7.812554,5.0199614
android.sensor.accelerometer,1523841010045,327293762363836,4.138594,7.917935,5.110972
android.sensor.accelerometer,1523841010069,327293782458715,3.9517825,8.143066,5.398374
android.sensor.accelerometer,1523841010084,327293802558299,3.8751419,8.971744,5.3313136
android.sensor.accelerometer,1523841010106,327293822657883,4.402046,10.509346,5.9635987
android.sensor.accelerometer,1523841010126,327293842757467,7.1706886,12.808565,6.5384035
android.sensor.accelerometer,1523841010144,327293862857051,13.086388,14.370118,6.725215
android.sensor.accelerometer,1523841010164,327293882957506,16.841778,15.490987,6.983877
android.sensor.accelerometer,1523841010186,327293903057090,18.077608,15.083834,6.8497562
android.sensor.accelerometer,1523841010204,327293923156674,16.04663,13.119918,-1.7435743
android.sensor.accelerometer,1523841010224,327293943256130,13.632452,12.837305,-9.148975
android.sensor.accelerometer,1523841010244,327293963355714,13.891114,12.305611,-8.957374
android.sensor.accelerometer,1523841010266,327293983453445,16.257393,11.357183,-4.5601172
android.sensor.accelerometer,1523841010285,327294003553029,15.332915,9.924961,-1.6477735
android.sensor.accelerometer,1523841010305,327294023652613,14.053975,8.689131,-2.9698243
android.sensor.accelerometer,1523841010325,327294043752069,13.584552,7.807764,-4.2296047
android.sensor.accelerometer,1523841010346,327294063851653,11.702065,5.9396486,-2.811753
android.sensor.accelerometer,1523841010365,327294083957795,9.604029,4.1242237,0.043110352
android.sensor.accelerometer,1523841010385,327294104057507,7.424561,2.6967921,1.3124708
android.sensor.accelerometer,1523841010405,327294124157219,6.3084817,1.2549903,2.193838
android.sensor.accelerometer,1523841010426,327294144256931,6.7731156,0.05269043,5.029541
android.sensor.accelerometer,1523841010445,327294164356643,6.246211,-0.52690434,5.7863674
android.sensor.accelerometer,1523841010465,327294184436509,3.8464015,-0.977168,3.2476466
android.sensor.accelerometer,1523841010484,327294204535709,1.0298585,-2.0261867,-0.7185059
android.sensor.accelerometer,1523841010505,327294224635037,-1.3076807,-3.4775686,-2.5866213
android.sensor.accelerometer,1523841010524,327294244734365,0.119750984,-4.9481106,-2.189048
android.sensor.accelerometer,1523841010544,327294264833693,3.3673975,-6.6581545,-2.1076174
android.sensor.accelerometer,1523841010565,327294284944108,10.102193,-6.8928666,-1.8968556
android.sensor.accelerometer,1523841010586,327294305043564,10.97877,-6.1552005,-0.85741705
android.sensor.accelerometer,1523841010606,327294325143148,9.196876,-5.728887,1.8345851
android.sensor.accelerometer,1523841010624,327294345242604,11.620635,-5.144502,6.864126
android.sensor.accelerometer,1523841010644,327294365342188,17.541124,-2.931504,9.268726
android.sensor.accelerometer,1523841010666,327294385445240,19.44277,0.1820215,6.1216702
android.sensor.accelerometer,1523841010685,327294405544824,16.803457,1.7004639,4.018843
android.sensor.accelerometer,1523841010704,327294425644408,13.737833,-0.5364844,4.7133985
android.sensor.accelerometer,1523841010725,327294445743992,12.597803,-4.095484,7.429351
android.sensor.accelerometer,1523841010747,327294465837489,18.47997,-10.164463,17.363892
android.sensor.accelerometer,1523841010765,327294485938523,22.04376,-14.815592,29.41563
android.sensor.accelerometer,1523841010785,327294506038235,17.636925,-18.23568,30.867014
android.sensor.accelerometer,1523841010805,327294526137819,8.698711,-23.30833,31.475348
android.sensor.accelerometer,1523841010827,327294546237403,4.718189,-27.533146,41.46737
android.sensor.accelerometer,1523841010846,327294566337115,23.030508,-30.938864,55.056713
android.sensor.accelerometer,1523841010866,327294586439552,48.475197,-30.239517,56.354813
android.sensor.accelerometer,1523841010886,327294606539136,52.005455,-28.883936,51.35401
android.sensor.accelerometer,1523841010909,327294626638720,55.564457,-30.986765,41.989483
android.sensor.accelerometer,1523841010927,327294646738432,64.167366,-35.800755,28.740236
android.sensor.accelerometer,1523841010947,327294666838016,69.65675,-41.697292,16.142433
android.sensor.accelerometer,1523841010967,327294686941690,66.327675,-46.65977,10.676997
android.sensor.accelerometer,1523841010989,327294707041402,72.06135,-48.99731,9.005274
android.sensor.accelerometer,1523841011008,327294727141114,74.40847,-45.816727,-0.23950197
android.sensor.accelerometer,1523841011028,327294747240698,61.12569,-43.49835,-20.898941
android.sensor.accelerometer,1523841011048,327294767340410,41.639812,-37.036583,-39.35496
android.sensor.accelerometer,1523841011069,327294787454403,30.51255,-29.377312,-32.356716
android.sensor.accelerometer,1523841011088,327294807554371,24.960896,-24.994425,-18.41291
android.sensor.accelerometer,1523841011111,327294827654339,19.36134,-20.999533,-15.979571
android.sensor.accelerometer,1523841011128,327294847754307,13.785733,-15.922091,-17.569864
android.sensor.accelerometer,1523841011150,327294867854403,7.6401124,-10.91171,-19.270329
android.sensor.accelerometer,1523841011168,327294887962836,4.761299,-6.4426026,-18.403332
android.sensor.accelerometer,1523841011189,327294908063060,2.3614893,-3.3578174,-14.164146
android.sensor.accelerometer,1523841011209,327294928163284,1.2597803,-1.1064991,-8.933423
android.sensor.accelerometer,1523841011230,327294948263508,0.34967285,0.79035646,-6.6916847
android.sensor.accelerometer,1523841011249,327294968363860,-0.11496094,2.682422,-6.7635355
android.sensor.accelerometer,1523841011269,327294988465541,-0.6227051,4.1242237,-5.7767873
android.sensor.accelerometer,1523841011289,327295008565765,-1.6381935,5.637876,-3.276387
android.sensor.accelerometer,1523841011311,327295028666117,-0.40715334,6.3132715,-0.97237796
android.sensor.accelerometer,1523841011329,327295048766341,1.2933106,6.605464,0.50774413
android.sensor.accelerometer,1523841011350,327295068866693,2.9219239,7.438931,-0.9484278
android.sensor.accelerometer,1523841011370,327295088968337,3.3578174,8.49753,-3.5494192
android.sensor.accelerometer,1523841011391,327295109068689,1.1639795,8.837623,-4.7325587
