Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1523841040769,327324474943149,-0.051941358,-0.048369166,-0.052239012
android.sensor.gyroscope,1523841040776,327324495042862,-0.10413931,-0.015345968,-0.026672667
android.sensor.gyroscope,1523841040794,327324515142574,-0.07218138,-0.045706008,-0.05596744
android.sensor.gyroscope,1523841040814,327324535248703,0.0481935,-0.064880766,-0.14012334
android.sensor.gyroscope,1523841040837,327324555348543,0.18135156,-0.08458816,-0.18592972
android.sensor.gyroscope,1523841040854,327324575448383,0.2399411,-0.075000785,-0.15929809
android.sensor.gyroscope,1523841040875,327324595548351,0.3304886,-0.12986189,-0.100708544
android.sensor.gyroscope,1523841040895,327324615648191,0.4332866,-0.2257357,-0.0154873915
android.sensor.gyroscope,1523841040918,327324635755039,0.57177097,-0.34184954,0.039906364
android.sensor.gyroscope,1523841040936,327324655855135,0.89401346,-0.6390583,0.044700053
android.sensor.gyroscope,1523841040956,327324675955103,1.4282435,-1.1679621,-0.081001155
android.sensor.gyroscope,1523841040976,327324696055199,2.1744614,-1.729889,-0.3595678
android.sensor.gyroscope,1523841041000,327324716155167,3.1225467,-1.864645,-0.08206642
android.sensor.gyroscope,1523841041016,327324736256854,3.7521179,-0.81535953,0.7957115
android.sensor.gyroscope,1523841041037,327324756357078,3.7031157,-0.087783955,0.9592296
android.sensor.gyroscope,1523841041057,327324776457174,3.69992,-0.9431913,0.8005052
android.sensor.gyroscope,1523841041079,327324796557270,4.128156,-2.732303,0.7909178
android.sensor.gyroscope,1523841041097,327324816657494,4.383287,-4.1304626,0.5837239
android.sensor.gyroscope,1523841041117,327324836756773,4.2336173,-4.671617,0.24603502
android.sensor.gyroscope,1523841041137,327324856856869,3.647722,-5.082809,-0.12201384
android.sensor.gyroscope,1523841041160,327324876957093,3.1145573,-5.784286,-0.27487928
android.sensor.gyroscope,1523841041177,327324897057317,2.3518279,-6.247676,-0.16782022
android.sensor.gyroscope,1523841041197,327324917157413,1.7829766,-6.73823,0.071331665
android.sensor.gyroscope,1523841041218,327324937259374,1.4751152,-7.2128053,0.2833193
android.sensor.gyroscope,1523841041239,327324957359598,1.4516793,-7.7166758,0.62739974
android.sensor.gyroscope,1523841041261,327324977459693,1.4314437,-8.352115,0.9560284
