Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1523840645090,326929251331393,2.9889846,6.7874856,6.974297
android.sensor.accelerometer,1523840645091,326929271429715,3.0991554,6.835386,7.3479204
android.sensor.accelerometer,1523840645109,326929291529683,2.8788135,6.8737063,7.2425394
android.sensor.accelerometer,1523840645122,326929311629523,2.7446926,6.9072366,7.031778
android.sensor.accelerometer,1523840645142,326929331729491,2.7734327,6.935977,6.8976564
android.sensor.accelerometer,1523840645163,326929351829331,2.926714,6.8928666,7.070098
android.sensor.accelerometer,1523840645182,326929371932220,3.0368848,6.830596,7.237749
android.sensor.accelerometer,1523840645203,326929392032188,3.0177248,6.8832865,6.950347
android.sensor.accelerometer,1523840645223,326929412132156,2.8548634,6.854546,6.9024467
android.sensor.accelerometer,1523840645245,326929432231996,2.6249416,6.7779055,7.27128
android.sensor.accelerometer,1523840645263,326929452331964,2.7446926,6.7635355,7.209009
android.sensor.accelerometer,1523840645283,326929472425165,2.7446926,6.782696,6.8593364
android.sensor.accelerometer,1523840645303,326929492525005,2.8644435,6.8737063,6.9072366
android.sensor.accelerometer,1523840645326,326929512624845,3.3578174,6.945557,6.950347
android.sensor.accelerometer,1523840645343,326929532724685,3.439248,6.9790874,6.6102543
android.sensor.accelerometer,1523840645364,326929552824525,3.3769777,6.9072366,6.337222
android.sensor.accelerometer,1523840645383,326929572915606,3.4919386,6.835386,6.3947024
android.sensor.accelerometer,1523840645406,326929593015190,2.4525,6.7635355,6.2989016
android.sensor.accelerometer,1523840645424,326929613114902,3.2093263,6.7300053,6.2749515
android.sensor.accelerometer,1523840645444,326929633214486,2.3566992,6.821016,6.710845
android.sensor.accelerometer,1523840645464,326929653314198,1.8489552,6.456973,6.940767
android.sensor.accelerometer,1523840645486,326929673409034,2.064507,6.4426026,6.854546
android.sensor.accelerometer,1523840645505,326929693508490,2.6105714,6.6294146,6.792276
android.sensor.accelerometer,1523840645524,326929713608074,2.3519094,6.591094,6.720425
android.sensor.accelerometer,1523840645544,326929733707530,2.327959,6.5623536,6.864126
android.sensor.accelerometer,1523840645567,326929753806986,2.7399025,6.600674,7.0269876
android.sensor.accelerometer,1523840645585,326929773905991,2.7590625,6.638994,6.935977
android.sensor.accelerometer,1523840645605,326929794005447,2.6536818,6.557564,6.9934573
android.sensor.accelerometer,1523840645625,326929814104903,2.5962012,6.5000834,6.959927
android.sensor.accelerometer,1523840645647,326929834204487,2.7015822,6.456973,6.600674
android.sensor.accelerometer,1523840645665,326929854303943,2.6105714,6.365962,6.356382
android.sensor.accelerometer,1523840645686,326929874406288,2.189048,6.13604,5.982759
android.sensor.accelerometer,1523840645705,326929894505744,1.7004639,5.738467,5.8103175
android.sensor.accelerometer,1523840645727,326929914605328,1.4849122,5.269043,6.3947024
android.sensor.accelerometer,1523840645745,326929934704912,0.23950197,5.130132,6.7491655
android.sensor.accelerometer,1523840645765,326929954804368,0.23471193,5.0343313,6.303692
android.sensor.accelerometer,1523840645786,326929974904336,0.06227051,5.240303,5.6714063
android.sensor.accelerometer,1523840645808,326929995003920,-1.5088624,5.407954,6.6342044
android.sensor.accelerometer,1523840645828,326930015103504,-1.0346485,5.5468655,9.412427
android.sensor.accelerometer,1523840645851,326930035202960,0.21076173,6.476133,10.844649
android.sensor.accelerometer,1523840645866,326930055302544,0.32572266,8.162227,10.178833
android.sensor.accelerometer,1523840645888,326930075398934,-0.3544629,8.938213,13.43127
android.sensor.accelerometer,1523840645906,326930095498390,0.4981641,9.125025,20.84625
android.sensor.accelerometer,1523840645927,326930115597846,4.9720607,9.393267,23.983727
android.sensor.accelerometer,1523840645947,326930135697174,8.061636,10.188414,21.90964
android.sensor.accelerometer,1523840645970,326930155796630,8.799302,10.734478,16.161592
android.sensor.accelerometer,1523840645986,326930175877398,11.429033,10.8925495,12.367882
android.sensor.accelerometer,1523840646006,326930195976470,14.259947,10.265054,13.263618
android.sensor.accelerometer,1523840646026,326930216075542,14.547349,8.641231,12.003839
