Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1523840645090,326929251331393,-0.11544538,-0.07562523,-0.009415571
android.sensor.gyroscope,1523840645091,326929271429715,-0.05312741,-0.096930526,-0.060548265
android.sensor.gyroscope,1523840645109,326929291529683,6.684421E-4,-0.087875776,-0.069070384
android.sensor.gyroscope,1523840645122,326929311629523,0.0054621324,-0.06763575,-0.034981918
android.sensor.gyroscope,1523840645142,326929331729491,-0.017441053,-0.070831545,-0.011013468
android.sensor.gyroscope,1523840645164,326929351829331,-0.04993162,-0.051656783,-0.009415571
android.sensor.gyroscope,1523840645182,326929371932220,-0.022234743,0.0021390726,-0.015807157
android.sensor.gyroscope,1523840645203,326929392032188,-0.016375788,-0.009578836,-0.050428253
android.sensor.gyroscope,1523840645223,326929412132156,-0.03555055,-0.009046203,-0.06693985
android.sensor.gyroscope,1523840645246,326929432231996,0.0049294997,-0.043134667,-0.056287207
android.sensor.gyroscope,1523840645263,326929452331964,0.056062195,-0.06816839,-0.049895618
android.sensor.gyroscope,1523840645283,326929472425165,0.05020324,-0.03993887,-0.032318756
android.sensor.gyroscope,1523840645303,326929492525005,0.052866403,-0.06071153,-0.013143997
android.sensor.gyroscope,1523840645327,326929512624845,0.074174084,-0.050596472,-0.04510516
android.sensor.gyroscope,1523840645343,326929532724685,0.061390914,-0.013312214,-0.09570522
android.sensor.gyroscope,1523840645365,326929552824525,0.012388747,-0.051661737,-0.14257684
android.sensor.gyroscope,1523840645384,326929572915606,-0.03661342,-0.09320705,-0.30449703
android.sensor.gyroscope,1523840645406,326929593015190,-0.07869136,-0.08841336,-0.17879584
android.sensor.gyroscope,1523840645424,326929613114902,-0.15485777,-0.04527015,-0.27786544
android.sensor.gyroscope,1523840645444,326929633214486,-0.14846618,0.020776248,-0.20702535
android.sensor.gyroscope,1523840645464,326929653314198,-0.10638824,-0.004790099,-0.11914104
android.sensor.gyroscope,1523840645486,326929673409034,-0.06644082,-0.068173334,-0.016875649
android.sensor.gyroscope,1523840645505,326929693508490,-0.06537556,-0.1022618,-0.036050413
android.sensor.gyroscope,1523840645524,326929713608074,-0.07496294,-0.12409972,-0.029126192
android.sensor.gyroscope,1523840645545,326929733707530,-0.10212718,-0.13155657,0.012951756
android.sensor.gyroscope,1523840645567,326929753806986,-0.097866125,-0.07882597,0.025202297
android.sensor.gyroscope,1523840645585,326929773905991,-0.09893139,-0.107055485,0.0054949033
android.sensor.gyroscope,1523840645605,326929794005447,-0.10319245,-0.119838655,-0.0115493275
android.sensor.gyroscope,1523840645625,326929814104903,-0.08348505,-0.09693547,-0.022201972
android.sensor.gyroscope,1523840645647,326929834204487,-0.09467033,-0.11078391,-0.051496744
android.sensor.gyroscope,1523840645665,326929854303943,-0.11011667,-0.121969186,-0.08611784
