Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1523840661719,326945893784018,0.4023633,4.9576907,8.847202
android.sensor.accelerometer,1523840661731,326945913883602,0.3161426,4.9433208,8.679551
android.sensor.accelerometer,1523840661744,326945933983058,0.40715334,4.9529004,8.650811
android.sensor.accelerometer,1523840661764,326945954082788,0.5508545,4.976851,8.59333
android.sensor.accelerometer,1523840661791,326945974182244,0.6514453,5.0487013,8.47837
android.sensor.accelerometer,1523840661807,326945994281700,0.49337405,5.0726514,8.612491
android.sensor.accelerometer,1523840661825,326946014381284,0.31135255,5.0582814,8.837623
android.sensor.accelerometer,1523840661852,326946034480740,0.32093263,4.9576907,8.8951025
android.sensor.accelerometer,1523840661866,326946054580507,0.36883304,4.89542,8.909473
android.sensor.accelerometer,1523840661888,326946074679963,0.4023633,4.9145803,8.947793
android.sensor.accelerometer,1523840661908,326946094779419,0.43589357,4.991221,8.765772
android.sensor.accelerometer,1523840661926,326946114878875,0.5221143,4.967271,8.420889
android.sensor.accelerometer,1523840661946,326946134978331,0.68018556,4.87626,8.229287
android.sensor.accelerometer,1523840661969,326946155080625,0.847837,4.8523097,8.138277
android.sensor.accelerometer,1523840661986,326946175180081,0.8095166,4.7948294,7.8556643
android.sensor.accelerometer,1523840662006,326946195279665,0.8334668,4.8091993,7.668853
android.sensor.accelerometer,1523840662026,326946215379121,0.8861573,4.8666797,7.4820414
android.sensor.accelerometer,1523840662049,326946235478705,0.7711963,4.87147,7.4006104
android.sensor.accelerometer,1523840662067,326946255572512,0.8765772,4.8523097,7.606582
android.sensor.accelerometer,1523840662087,326946275671840,1.1112891,4.8571,7.563472
android.sensor.accelerometer,1523840662108,326946295771168,1.2981006,4.8283596,7.711963
android.sensor.accelerometer,1523840662129,326946315870624,1.3651612,4.6894484,7.807764
android.sensor.accelerometer,1523840662147,326946335969952,1.7627344,4.6271777,7.2521195
android.sensor.accelerometer,1523840662168,326946356071461,2.208208,4.6942387,6.581514
android.sensor.accelerometer,1523840662187,326946376170789,2.4860303,4.8283596,6.3994923
android.sensor.accelerometer,1523840662210,326946396270117,2.8500733,5.005591,7.0988383
android.sensor.accelerometer,1523840662228,326946416369445,4.253555,5.4223247,7.414981
android.sensor.accelerometer,1523840662248,326946436468901,5.6282964,6.1935205,6.466553
android.sensor.accelerometer,1523840662268,326946456570411,6.5048733,6.9934573,5.6761966
android.sensor.accelerometer,1523840662291,326946476669867,7.9227247,7.3862405,6.12646
android.sensor.accelerometer,1523840662308,326946496769323,8.123906,7.0509377,8.157437
