Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1523840661719,326945893784018,0.009178576,0.0064248936,-0.005671007
android.sensor.gyroscope,1523840661731,326945913883602,0.007580679,0.01281648,0.0049816375
android.sensor.gyroscope,1523840661744,326945933983058,0.008113312,-0.0058256476,0.018830076
android.sensor.gyroscope,1523840661764,326945954082788,0.011841737,0.009620687,0.022558501
android.sensor.gyroscope,1523840661791,326945974182244,-0.011061449,0.03412177,-0.0014099493
android.sensor.gyroscope,1523840661807,326945994281700,-0.025442518,0.025067022,-0.025911031
android.sensor.gyroscope,1523840661825,326946014381284,-0.009463552,-0.031391997,-0.024845768
android.sensor.gyroscope,1523840661852,326946034480740,-0.0014740685,-0.0281962,-0.0062036393
android.sensor.gyroscope,1523840661866,326946054580507,-0.01638777,0.052763898,0.020427972
android.sensor.gyroscope,1523840661889,326946074679963,0.013439634,0.044774413,0.027884824
android.sensor.gyroscope,1523840661908,326946094779419,0.050199475,1.6326318E-5,0.025210597
android.sensor.gyroscope,1523840661926,326946114878875,0.050199475,-0.010103687,0.018286377
android.sensor.gyroscope,1523840661946,326946134978331,0.018774172,0.014930028,0.011362158
android.sensor.gyroscope,1523840661969,326946155080625,0.005990999,0.010136339,-0.020595776
android.sensor.gyroscope,1523840661986,326946175180081,-0.019575348,-0.014897376,-0.034976847
android.sensor.gyroscope,1523840662006,326946195279665,-0.045141697,-0.060171116,-0.037107375
android.sensor.gyroscope,1523840662026,326946215379121,-0.09094807,-0.09212905,-0.06160846
android.sensor.gyroscope,1523840662049,326946235478705,-0.15166815,-0.1491207,-0.06533688
android.sensor.gyroscope,1523840662067,326946255572512,-0.18415871,-0.20717761,-0.073326364
android.sensor.gyroscope,1523840662087,326946275671840,-0.23369351,-0.190666,-0.082381114
android.sensor.gyroscope,1523840662108,326946295771168,-0.277902,-0.20344919,-0.10102324
android.sensor.gyroscope,1523840662129,326946315870624,-0.24807458,-0.28494194,-0.11646958
android.sensor.gyroscope,1523840662147,326946335969952,-0.2661841,-0.38294625,-0.13617696
android.sensor.gyroscope,1523840662168,326946356071461,-0.3652537,-0.5294201,-0.1979623
android.sensor.gyroscope,1523840662187,326946376170789,-0.52184755,-0.59653175,-0.21980022
android.sensor.gyroscope,1523840662210,326946396270117,-0.6203845,-0.60611916,-0.18251596
android.sensor.gyroscope,1523840662228,326946416369445,-0.5905571,-0.7099824,-0.26028028
android.sensor.gyroscope,1523840662248,326946436468901,-0.66619086,-0.88042474,-0.5186069
android.sensor.gyroscope,1523840662268,326946456570411,-0.922387,-1.020507,-0.80143464
android.sensor.gyroscope,1523840662291,326946476669867,-1.3421011,-1.082825,-1.2083656
android.sensor.gyroscope,1523840662308,326946496769323,-1.6899099,-1.1669809,-1.6477872
android.sensor.gyroscope,1523840662328,326946516868779,-1.8369164,-1.179764,-2.070697
android.sensor.gyroscope,1523840662349,326946536965332,-1.3554169,-1.2426146,-2.4158428
android.sensor.gyroscope,1523840662370,326946557071010,-0.43023482,-1.6783078,-2.5687084
android.sensor.gyroscope,1523840662389,326946577170466,0.09920164,-2.3132055,-2.612384
android.sensor.gyroscope,1523840662411,326946597270050,-0.091484465,-2.3398292,-2.5133095
android.sensor.gyroscope,1523840662428,326946617369634,-0.6225188,-1.7629886,-2.3860104
android.sensor.gyroscope,1523840662450,326946637469090,-0.39987853,-1.3954723,-2.293865
android.sensor.gyroscope,1523840662468,326946657563720,0.70320284,-1.4205061,-2.202785
android.sensor.gyroscope,1523840662489,326946677663176,1.9026906,-1.6900179,-2.1617723
android.sensor.gyroscope,1523840662508,326946697762632,2.7144222,-1.7629886,-2.327421
android.sensor.gyroscope,1523840662532,326946717862216,2.7378578,-1.4189081,-2.372162
android.sensor.gyroscope,1523840662550,326946737961672,2.2750006,-0.92249495,-2.0126352
android.sensor.gyroscope,1523840662569,326946758066643,1.896299,-0.3440563,-1.6355317
android.sensor.gyroscope,1523840662590,326946778166355,1.8158716,-0.015422225,-1.4464471
android.sensor.gyroscope,1523840662612,326946798265939,2.0465014,0.051689435,-1.4528388
android.sensor.gyroscope,1523840662630,326946818365523,2.4273334,0.18964118,-1.4762746
android.sensor.gyroscope,1523840662650,326946838465107,2.5114892,0.5816585,-1.4086303
android.sensor.gyroscope,1523840662670,326946858573651,2.526403,0.898042,-1.0288635
android.sensor.gyroscope,1523840662692,326946878673491,2.561024,1.0929854,-0.6650757
android.sensor.gyroscope,1523840662710,326946898773203,2.4779334,1.4775459,-0.48025233
android.sensor.gyroscope,1523840662730,326946918873043,2.3623521,1.6618366,-0.2714605
android.sensor.gyroscope,1523840662750,326946938972755,2.168474,1.7332094,-0.015797013
android.sensor.gyroscope,1523840662773,326946959064024,2.136516,1.7273504,0.3304139
android.sensor.gyroscope,1523840662790,326946979163608,2.1242657,1.9382727,0.7751618
android.sensor.gyroscope,1523840662810,326946999263320,1.9335833,2.3356164,1.2784992
android.sensor.gyroscope,1523840662830,326947019362904,1.6752566,2.5832903,1.6300366
android.sensor.gyroscope,1523840662853,326947039462616,1.5389028,2.5225704,1.8766453
android.sensor.gyroscope,1523840662871,326947059523416,1.2869678,2.1071172,1.8931569
android.sensor.gyroscope,1523840662891,326947079622360,0.99348736,1.3363984,2.0513487
android.sensor.gyroscope,1523840662914,326947099721304,0.6302343,1.2298677,2.2106028
android.sensor.gyroscope,1523840662934,326947119820120,0.16897474,1.5270765,2.2926283
android.sensor.gyroscope,1523840662951,326947139919064,-0.22250994,1.6831378,2.2542787
android.sensor.gyroscope,1523840662972,326947160034331,-0.4914892,1.4493122,2.181308
android.sensor.gyroscope,1523840662992,326947180133531,-0.6161251,0.9145494,2.2068744
android.sensor.gyroscope,1523840663014,326947200232731,-0.7897632,0.70735544,2.1386974
android.sensor.gyroscope,1523840663032,326947220331931,-0.9064097,0.63811326,1.9277753
android.sensor.gyroscope,1523840663052,326947240431131,-0.9330413,0.31959918,1.7978129
android.sensor.gyroscope,1523840663072,326947260542625,-1.2227933,0.1262537,1.7067329
android.sensor.gyroscope,1523840663095,326947280642081,-1.5487642,-0.059634946,1.6380233
android.sensor.gyroscope,1523840663112,326947300741537,-1.8555604,-0.15604138,1.6582633
android.sensor.gyroscope,1523840663132,326947320840993,-1.9333247,-0.46123964,1.6380233
android.sensor.gyroscope,1523840663152,326947340940321,-1.799634,-0.7776232,1.218309
android.sensor.gyroscope,1523840663175,326947361047407,-1.7554256,-0.8303538,0.78155065
android.sensor.gyroscope,1523840663193,326947381146991,-2.1575627,-0.4750881,0.5983252
android.sensor.gyroscope,1523840663213,326947401246575,-2.4819357,-0.39199746,0.38793546
android.sensor.gyroscope,1523840663233,326947421346159,-2.4270747,-0.5081113,0.097650886
android.sensor.gyroscope,1523840663255,326947441445743,-2.2758071,-0.7126421,-0.3220633
android.sensor.gyroscope,1523840663273,326947461545041,-2.0915163,-0.8750949,-0.6949059
android.sensor.gyroscope,1523840663293,326947481644497,-1.9695437,-0.65565044,-0.9782662
android.sensor.gyroscope,1523840663313,326947501744081,-1.8507667,-0.34725636,-1.1556327
android.sensor.gyroscope,1523840663336,326947521843537,-1.6238654,-0.23220779,-1.2850623
android.sensor.gyroscope,1523840663353,326947541942993,-1.2179996,-0.23806675,-1.3255424
android.sensor.gyroscope,1523840663373,326947562043879,-0.6704536,-0.38667113,-1.2648224
android.sensor.gyroscope,1523840663395,326947582143463,-0.21398783,-0.51130706,-1.098641
android.sensor.gyroscope,1523840663417,326947602242919,-0.2832317,0.037307657,-0.8067563
android.sensor.gyroscope,1523840663433,326947622342503,-0.39188868,0.618942,-0.47279593
android.sensor.gyroscope,1523840663453,326947642441959,-0.033959843,0.54810196,-0.20328403
android.sensor.gyroscope,1523840663473,326947662550704,0.376167,0.45595658,-0.09089862
android.sensor.gyroscope,1523840663496,326947682650416,0.39374384,0.5912452,0.05664051
android.sensor.gyroscope,1523840663514,326947702750128,0.38096067,0.6599547,0.22388703
android.sensor.gyroscope,1523840663533,326947722849840,0.25153103,0.71002215,0.3618388
android.sensor.gyroscope,1523840663556,326947742949552,0.17749515,0.9608919,0.3985904
android.sensor.gyroscope,1523840663574,326947763050672,0.18335411,0.9901867,0.37302405
android.sensor.gyroscope,1523840663593,326947783150512,0.19773518,1.0003067,0.2696934
android.sensor.gyroscope,1523840663614,326947803250352,-0.08509253,1.0327972,0.10084898
android.sensor.gyroscope,1523840663637,326947823350064,-0.31359175,1.2511765,0.08487002
android.sensor.gyroscope,1523840663653,326947843449904,-0.284297,1.3885956,0.18500488
android.sensor.gyroscope,1523840663674,326947863548214,-0.015850347,1.2277406,0.15677537
android.sensor.gyroscope,1523840663694,326947883648054,0.24833524,0.77979696,0.03533522
android.sensor.gyroscope,1523840663716,326947903747766,0.2643142,0.6274641,-0.11273654
android.sensor.gyroscope,1523840663733,326947923847478,0.13115615,0.57633144,-0.096757576
android.sensor.gyroscope,1523840663754,326947943947190,-0.18309687,0.6700747,0.011366769
android.sensor.gyroscope,1523840663773,326947964049992,-0.31891808,0.6743358,0.09019634
android.sensor.gyroscope,1523840663796,326947984149832,-0.20706531,0.4442387,0.13706797
android.sensor.gyroscope,1523840663814,326948004249672,-0.03609037,0.1603457,0.05930367
android.sensor.gyroscope,1523840663834,326948024349512,0.032086555,0.08844036,-0.12285655
android.sensor.gyroscope,1523840663853,326948044449352,-0.078700945,0.24876265,-0.25601462
android.sensor.gyroscope,1523840663877,326948064546827,-0.10693046,0.33504906,-0.20754507
android.sensor.gyroscope,1523840663894,326948084646667,0.017705485,0.3483649,-0.022721693
android.sensor.gyroscope,1523840663916,326948104746507,0.08056122,0.34675637,0.009761956
android.sensor.gyroscope,1523840663935,326948124846347,0.085887544,0.3419627,-0.13724454
android.sensor.gyroscope,1523840663958,326948144946187,0.030493794,0.33610374,-0.29916474
android.sensor.gyroscope,1523840663977,326948165044266,-0.07550002,0.42505333,-0.24377099
android.sensor.gyroscope,1523840663996,326948185144106,-0.019041004,0.45008704,-0.06267603
android.sensor.gyroscope,1523840664016,326948205243946,0.050733816,0.39575854,-0.13245085
android.sensor.gyroscope,1523840664038,326948225343786,0.15033604,0.49109972,-0.15801719
android.sensor.gyroscope,1523840664056,326948245443754,0.14820552,0.39416066,-0.24643414
android.sensor.gyroscope,1523840664076,326948265543753,0.045407493,0.1406277,-0.34071004
android.sensor.gyroscope,1523840664097,326948285643593,-0.06484737,-0.03301041,-0.18251827
android.sensor.gyroscope,1523840664118,326948305743433,-0.12237165,0.012795962,0.017218808
android.sensor.gyroscope,1523840664137,326948325843273,-0.12503482,0.4016175,0.1525074
android.sensor.gyroscope,1523840664157,326948345943113,-0.012116785,0.42452067,0.038524095
android.sensor.gyroscope,1523840664177,326948366050206,0.040613804,0.18323828,-0.11274345
android.sensor.gyroscope,1523840664199,326948386150302,0.01558009,0.011730698,-0.08344868
android.sensor.gyroscope,1523840664217,326948406250270,-0.014247314,0.07298341,0.030001981
android.sensor.gyroscope,1523840664237,326948426350366,-0.0041273017,0.1289098,0.1312021
android.sensor.gyroscope,1523840664257,326948446450334,0.048603285,0.049014952,0.21109694
android.sensor.gyroscope,1523840664279,326948466553563,0.083224386,-0.045793585,0.12534314
android.sensor.gyroscope,1523840664297,326948486653787,0.02037378,-0.048456743,0.049709372
android.sensor.gyroscope,1523840664317,326948506754139,-0.05526,-0.02821672,0.0017724724
android.sensor.gyroscope,1523840664337,326948526854363,0.0011990203,0.018654916,-0.070132874
android.sensor.gyroscope,1523840664360,326948546955439,0.07576753,-0.11024208,0.0076314267
android.sensor.gyroscope,1523840664378,326948567038351,0.16258658,-0.23594329,0.12321262
android.sensor.gyroscope,1523840664396,326948587138191,0.1215739,-0.21676852,0.0715473
android.sensor.gyroscope,1523840664418,326948607238159,-0.13194671,-0.019720074,-0.017418887
android.sensor.gyroscope,1523840664440,326948627337999,-0.22036366,0.14166749,-0.070149474
android.sensor.gyroscope,1523840664456,326948647437967,-0.111174054,0.12249274,-0.089324236
android.sensor.gyroscope,1523840664477,326948667518571,0.11306411,0.06390319,-0.098378986
