Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1523840784067,327067778852041,2.4812403,6.6437845,7.846084
android.sensor.accelerometer,1523840784079,327067798951497,2.064507,6.720425,7.065308
android.sensor.accelerometer,1523840784098,327067819050825,1.9112257,6.744375,6.710845
android.sensor.accelerometer,1523840784120,327067839150281,2.0213966,6.6342044,7.1371584
android.sensor.accelerometer,1523840784138,327067859258057,1.9016455,6.447393,7.3575
android.sensor.accelerometer,1523840784159,327067879357641,2.0070264,6.5048733,7.3718705
android.sensor.accelerometer,1523840784180,327067899457097,2.184258,6.6246243,7.5059915
android.sensor.accelerometer,1523840784201,327067919556681,2.2417383,6.6773148,7.7167535
android.sensor.accelerometer,1523840784219,327067939656265,2.3998096,6.7874856,7.606582
android.sensor.accelerometer,1523840784239,327067959750863,2.3135889,6.935977,7.2808595
android.sensor.accelerometer,1523840784260,327067979850319,2.179468,7.1084185,6.8832865
android.sensor.accelerometer,1523840784281,327067999949775,2.2177882,7.3000197,6.342012
android.sensor.accelerometer,1523840784300,327068020049231,2.059717,7.424561,6.3899126
android.sensor.accelerometer,1523840784320,327068040148687,1.7339942,7.5059915,6.552774
android.sensor.accelerometer,1523840784339,327068060248495,1.456172,7.5299416,7.2808595
android.sensor.accelerometer,1523840784362,327068080347951,1.3891114,7.448511,7.563472
android.sensor.accelerometer,1523840784380,327068100447407,1.6813037,7.7071733,7.4676714
android.sensor.accelerometer,1523840784399,327068120546863,1.0059083,7.697593,7.1706886
android.sensor.accelerometer,1523840784419,327068140646319,0.63707525,7.6496925,7.5970025
android.sensor.accelerometer,1523840784441,327068160750076,0.21076173,7.247329,10.7871685
android.sensor.accelerometer,1523840784459,327068180849532,0.81909674,6.701265,13.570181
android.sensor.accelerometer,1523840784480,327068200949116,1.2693604,6.332432,12.995377
android.sensor.accelerometer,1523840784500,327068221048572,0.9148975,6.3132715,11.769127
android.sensor.accelerometer,1523840784523,327068241148156,0.6466553,5.9635987,12.837305
android.sensor.accelerometer,1523840784541,327068261255215,-0.2203418,5.3073635,13.761783
android.sensor.accelerometer,1523840784561,327068281354927,-0.44547364,5.0630717,13.134288
android.sensor.accelerometer,1523840784582,327068301454639,-0.5412744,4.7708793,11.979888
android.sensor.accelerometer,1523840784604,327068321554351,-0.488584,4.430786,9.666299
android.sensor.accelerometer,1523840784622,327068341654063,-0.71371585,3.8272414,8.238868
android.sensor.accelerometer,1523840784643,327068361754026,-0.75203615,3.1135256,8.885523
android.sensor.accelerometer,1523840784662,327068381853738,-1.3939015,2.3375392,8.411309
android.sensor.accelerometer,1523840784684,327068401953450,-0.7376661,2.1315675,6.11688
android.sensor.accelerometer,1523840784702,327068422053162,1.8537452,2.2608986,3.6021094
android.sensor.accelerometer,1523840784722,327068442152874,3.056045,2.2513185,2.8452833
android.sensor.accelerometer,1523840784743,327068462250561,3.3051271,2.1459377,2.5051906
android.sensor.accelerometer,1523840784764,327068482350273,3.439248,2.3710694,1.5280225
android.sensor.accelerometer,1523840784783,327068502449985,3.276387,2.8883936,0.26345217
android.sensor.accelerometer,1523840784803,327068522549825,4.521797,3.2428565,-1.5280225
android.sensor.accelerometer,1523840784823,327068542649537,5.752837,3.6068995,-2.6201515
android.sensor.accelerometer,1523840784845,327068562753723,6.452183,3.558999,-2.308799
android.sensor.accelerometer,1523840784863,327068582853435,6.710845,3.8464015,-1.4897022
android.sensor.accelerometer,1523840784884,327068602953275,8.052056,4.191284,-2.9458742
android.sensor.accelerometer,1523840784905,327068623053115,10.705738,5.0726514,-4.905
android.sensor.accelerometer,1523840784924,327068643152955,11.175161,5.2882032,-5.3217335
android.sensor.accelerometer,1523840784943,327068663253965,11.189531,5.5660257,-7.443721
android.sensor.accelerometer,1523840784965,327068683353677,10.408755,6.246211,-9.73815
android.sensor.accelerometer,1523840784989,327068703453517,11.749967,6.5719337,-9.081915
android.sensor.accelerometer,1523840785004,327068723553357,12.305611,6.236631,-7.5203614
android.sensor.accelerometer,1523840785024,327068743653197,11.836187,5.872588,-5.8342676
android.sensor.accelerometer,1523840785043,327068763745314,12.995377,5.992339,-6.0114994
android.sensor.accelerometer,1523840785065,327068783845026,11.625425,5.829478,-8.339458
android.sensor.accelerometer,1523840785084,327068803944738,10.116563,5.101392,-7.558682
android.sensor.accelerometer,1523840785105,327068824044450,10.442286,4.5553274,-3.7218604
android.sensor.accelerometer,1523840785125,327068844144162,9.402847,4.2200246,-1.2837305
android.sensor.accelerometer,1523840785146,327068864251109,9.68067,3.539839,1.0298585
android.sensor.accelerometer,1523840785165,327068884350949,9.7621,2.308799,2.3998096
android.sensor.accelerometer,1523840785184,327068904450789,8.57417,1.2789404,3.8416114
android.sensor.accelerometer,1523840785205,327068924550629,7.1467385,0.53169435,6.1743608
android.sensor.accelerometer,1523840785226,327068944650597,6.3132715,-0.19160157,10.178833
android.sensor.accelerometer,1523840785245,327068964739387,5.5660257,-0.48379397,14.6671
android.sensor.accelerometer,1523840785265,327068984839099,4.9481106,-0.19160157,14.65752
android.sensor.accelerometer,1523840785284,327069004938683,4.1050634,0.41194338,11.620635
android.sensor.accelerometer,1523840785306,327069025038395,3.544629,0.60354495,9.010064
android.sensor.accelerometer,1523840785325,327069045137979,2.6488917,-0.24908204,9.613608
android.sensor.accelerometer,1523840785345,327069065240056,2.3375392,-1.1112891,13.972545
android.sensor.accelerometer,1523840785365,327069085339768,2.912344,-1.2981006,17.09565
android.sensor.accelerometer,1523840785386,327069105439480,4.5888577,-0.86220706,16.506475
android.sensor.accelerometer,1523840785406,327069125539064,6.1408305,-0.6610254,15.064673
android.sensor.accelerometer,1523840785425,327069145638776,6.5000834,-0.9532178,14.092296
android.sensor.accelerometer,1523840785445,327069165750642,6.2510014,-1.1543995,13.598922
android.sensor.accelerometer,1523840785467,327069185850610,5.877378,-1.3986914,14.279107
android.sensor.accelerometer,1523840785488,327069205950450,7.654483,-1.456172,13.34026
android.sensor.accelerometer,1523840785505,327069226046528,11.673326,-1.2981006,10.169253
android.sensor.accelerometer,1523840785525,327069246146368,13.800103,-1.1304493,8.789722
android.sensor.accelerometer,1523840785547,327069266250939,14.111456,-0.7951465,9.68067
android.sensor.accelerometer,1523840785566,327069286350907,13.4169,-0.91010743,9.829161
android.sensor.accelerometer,1523840785585,327069306450875,11.773916,-1.2022998,8.49753
android.sensor.accelerometer,1523840785606,327069326550843,11.639795,-0.9053174,5.374424
android.sensor.accelerometer,1523840785627,327069346650811,12.382252,-0.16765137,4.1721244
android.sensor.accelerometer,1523840785646,327069366746290,13.613292,0.2682422,4.727769
android.sensor.accelerometer,1523840785666,327069386846130,14.394068,0.43589357,3.8176613
android.sensor.accelerometer,1523840785686,327069406945970,14.897022,0.9867481,1.9112257
android.sensor.accelerometer,1523840785708,327069427045938,14.432388,1.7866846,0.7041358
android.sensor.accelerometer,1523840785727,327069447145778,13.37858,1.8202149,1.0202783
android.sensor.accelerometer,1523840785746,327069467249471,13.819263,1.7866846,2.8452833
android.sensor.accelerometer,1523840785766,327069487349439,12.391831,1.4226416,3.8799317
android.sensor.accelerometer,1523840785788,327069507449535,10.423125,1.2022998,3.7649708
android.sensor.accelerometer,1523840785807,327069527549503,9.8866415,1.7962648,2.8931837
android.sensor.accelerometer,1523840785827,327069547649599,9.551338,1.954336,1.1448194
android.sensor.accelerometer,1523840785847,327069567746178,7.438931,1.9974464,2.3519094
android.sensor.accelerometer,1523840785868,327069587846018,7.055728,1.6669337,6.05461
android.sensor.accelerometer,1523840785887,327069607945986,6.06419,1.2070899,8.765772
android.sensor.accelerometer,1523840785907,327069628045954,5.733677,1.3028907,8.411309
android.sensor.accelerometer,1523840785928,327069648145794,5.728887,1.590293,7.941885
android.sensor.accelerometer,1523840785950,327069668247237,5.5516553,2.0405567,7.6209526
android.sensor.accelerometer,1523840785968,327069688347205,5.7624173,2.4716604,7.165899
android.sensor.accelerometer,1523840785990,327069708447045,5.7480474,2.663262,7.8365045
android.sensor.accelerometer,1523840786008,327069728547013,5.5372853,2.5962012,8.665181
android.sensor.accelerometer,1523840786029,327069748646981,5.4319043,2.5770411,8.943004
android.sensor.accelerometer,1523840786048,327069768741809,5.1684523,2.7494826,7.822134
android.sensor.accelerometer,1523840786068,327069788841649,4.5744877,2.6345215,6.9311867
android.sensor.accelerometer,1523840786088,327069808941489,4.368516,2.3327491,7.7550735
android.sensor.accelerometer,1523840786110,327069829041329,4.703819,1.9782863,9.326206
android.sensor.accelerometer,1523840786128,327069849141169,4.84752,1.8489552,9.800421
android.sensor.accelerometer,1523840786148,327069869230184,4.766089,2.3471193,9.326206
android.sensor.accelerometer,1523840786168,327069889329896,4.9433208,2.3710694,9.1202345
android.sensor.accelerometer,1523840786190,327069909429608,4.9002104,2.4093897,8.416099
android.sensor.accelerometer,1523840786208,327069929529320,4.5457473,2.42855,7.697593
android.sensor.accelerometer,1523840786229,327069949628904,4.598438,2.2896388,8.612491
android.sensor.accelerometer,1523840786249,327069969724264,3.8464015,2.1459377,10.164463
android.sensor.accelerometer,1523840786270,327069989823848,3.3338673,2.088457,9.733359
android.sensor.accelerometer,1523840786288,327070009923432,4.2296047,2.5530908,8.794512
android.sensor.accelerometer,1523840786308,327070030023016,4.536167,2.8500733,7.941885
android.sensor.accelerometer,1523840786329,327070050122728,4.0667434,2.8836036,6.686895
android.sensor.accelerometer,1523840786351,327070070222592,4.1864944,3.0225148,7.4676714
android.sensor.accelerometer,1523840786369,327070090322176,5.1876125,2.6441016,9.311836
android.sensor.accelerometer,1523840786389,327070110421760,5.120552,2.567461,9.484278
android.sensor.accelerometer,1523840786409,327070130521344,5.0487013,2.792593,7.927515
android.sensor.accelerometer,1523840786432,327070150620800,4.5888577,2.787803,8.195757
android.sensor.accelerometer,1523840786450,327070170728479,4.3637257,2.299219,9.292676
android.sensor.accelerometer,1523840786470,327070190828191,4.4212065,2.4908204,8.583751
android.sensor.accelerometer,1523840786492,327070210928031,4.6032276,2.8404932,7.429351
android.sensor.accelerometer,1523840786517,327070231027743,4.536167,2.926714,7.4676714
android.sensor.accelerometer,1523840786531,327070251127455,4.5313773,2.8883936,8.133487
android.sensor.accelerometer,1523840786551,327070271232165,4.3206153,2.7207422,8.58854
android.sensor.accelerometer,1523840786576,327070291332005,4.4738965,2.7351124,8.789722
android.sensor.accelerometer,1523840786593,327070311431845,5.8677983,3.1901662,7.9849954
android.sensor.accelerometer,1523840786611,327070331531685,5.2929935,3.4057178,7.582632
android.sensor.accelerometer,1523840786637,327070351631525,4.4834766,2.9171338,8.741821
android.sensor.accelerometer,1523840786651,327070371730664,4.387676,2.926714,9.254355
android.sensor.accelerometer,1523840786673,327070391830376,4.3301954,2.8596535,9.057964
