Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1523840793898,327077607719261,0.01883244,-0.03332004,0.0756801
android.sensor.gyroscope,1523840793910,327077627819613,0.02362613,0.0044968496,0.054907445
android.sensor.gyroscope,1523840793927,327077647920093,0.0076471623,0.023138978,0.040526375
android.sensor.gyroscope,1523840793956,327077668020445,0.009245059,-0.009351588,0.016557924
android.sensor.gyroscope,1523840793968,327077688120797,0.022028234,-0.012014749,-0.011138951
android.sensor.gyroscope,1523840793988,327077708211775,0.032680877,-0.0508969,0.006437913
android.sensor.gyroscope,1523840794014,327077728311999,-3.4232088E-4,-0.013612646,0.01762319
android.sensor.gyroscope,1523840794032,327077748412094,-0.025915515,0.050317373,0.023491366
android.sensor.gyroscope,1523840794049,327077768512319,-0.02005656,0.022087863,-0.009531831
android.sensor.gyroscope,1523840794068,327077788612543,-0.018458664,-0.018392187,-0.0404245
android.sensor.gyroscope,1523840794088,327077808710426,-0.028046044,-0.0583396,-0.026576063
android.sensor.gyroscope,1523840794110,327077828810650,-0.094092436,-0.033838518,-0.03243502
android.sensor.gyroscope,1523840794129,327077848910746,-0.08983138,0.011435218,-0.07611086
android.sensor.gyroscope,1523840794149,327077869010842,0.010303477,-0.0018805866,-0.05054451
android.sensor.gyroscope,1523840794169,327077889110938,0.043859307,0.0210226,-0.02817396
android.sensor.gyroscope,1523840794191,327077909209431,0.08061093,-0.075383835,-0.038293973
android.sensor.gyroscope,1523840794210,327077929309527,0.09126358,-0.09615649,0.009642929
android.sensor.gyroscope,1523840794228,327077949409495,0.047587734,-0.029044831,0.020828204
android.sensor.gyroscope,1523840794248,327077969509591,0.09286147,-0.084438585,-0.01645605
android.sensor.gyroscope,1523840794272,327077989609687,0.27448907,-0.09402596,-0.07770876
android.sensor.gyroscope,1523840794290,327078009708569,0.4385398,0.0055762646,-0.06705611
android.sensor.gyroscope,1523840794308,327078029808665,0.49073774,0.033805773,-0.034565546
android.sensor.gyroscope,1523840794328,327078049908633,0.54985994,-0.0018805866,-0.0255108
android.sensor.gyroscope,1523840794351,327078070008601,0.63082004,-0.040762737,-0.061197158
android.sensor.gyroscope,1523840794370,327078090108697,0.7128454,-0.04555643,-0.031902384
android.sensor.gyroscope,1523840794389,327078110202741,0.8033929,-0.0013479544,0.028285056
android.sensor.gyroscope,1523840794409,327078130302709,0.86304766,-0.012533231,0.13907255
android.sensor.gyroscope,1523840794432,327078150402549,0.92216986,0.003978368,0.30259064
android.sensor.gyroscope,1523840794450,327078170502517,0.94507307,0.0029131034,0.32762435
android.sensor.gyroscope,1523840794469,327078190602357,0.9860857,-0.0013479544,0.22109792
android.sensor.gyroscope,1523840794489,327078210701630,1.0505342,0.065763704,0.26796955
android.sensor.gyroscope,1523840794512,327078230801470,1.0590563,0.1861386,0.40964973
android.sensor.gyroscope,1523840794531,327078250901437,1.0223327,0.24891393,0.5161139
android.sensor.gyroscope,1523840794549,327078271001278,0.98558116,0.113092706,0.5778992
android.sensor.gyroscope,1523840794570,327078291101246,0.9099474,-0.027522199,0.5992045
android.sensor.gyroscope,1523840794593,327078311201253,0.8124757,0.02680629,0.6625877
android.sensor.gyroscope,1523840794611,327078331301093,0.7197977,0.104037955,0.8069311
android.sensor.gyroscope,1523840794630,327078351400933,0.6159344,0.014555748,0.96885127
android.sensor.gyroscope,1523840794651,327078371500773,0.50088584,-0.17346342,1.143022
android.sensor.gyroscope,1523840794673,327078391600485,0.4145994,-0.40835422,1.2101337
android.sensor.gyroscope,1523840794692,327078411705146,0.38743514,-0.48505327,1.2367653
android.sensor.gyroscope,1523840794711,327078431804986,0.3853046,-0.42113742,1.3448896
android.sensor.gyroscope,1523840794732,327078451904826,0.32351926,-0.35881945,1.4599382
