Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1523840734450,327018132587277,0.5508545,8.2197075,5.4462748
android.sensor.accelerometer,1523840734450,327018152686861,0.97237796,8.52148,5.1397123
android.sensor.accelerometer,1523840734466,327018172786317,0.89573735,8.59333,4.9481106
android.sensor.accelerometer,1523840734483,327018192885901,0.8861573,8.52148,5.513335
android.sensor.accelerometer,1523840734503,327018212978652,0.98195803,8.5598,5.484595
android.sensor.accelerometer,1523840734524,327018233077980,1.0873389,8.612491,5.470225
android.sensor.accelerometer,1523840734542,327018253177308,0.977168,8.684341,5.345684
android.sensor.accelerometer,1523840734562,327018273276636,1.2981006,8.751402,5.2834134
android.sensor.accelerometer,1523840734583,327018293375964,1.3124708,8.689131,4.87147
android.sensor.accelerometer,1523840734606,327018313477479,0.9867481,8.50711,4.82357
android.sensor.accelerometer,1523840734624,327018333576935,0.53169435,8.238868,5.1828227
android.sensor.accelerometer,1523840734644,327018353676263,0.3305127,8.066426,5.4750147
android.sensor.accelerometer,1523840734664,327018373775591,0.92926764,8.190968,5.6282964
android.sensor.accelerometer,1523840734686,327018393874919,1.4226416,8.487949,5.1540823
android.sensor.accelerometer,1523840734703,327018413973735,1.5567628,8.708291,4.737349
android.sensor.accelerometer,1523840734720,327018434073063,1.6765138,8.684341,5.0726514
android.sensor.accelerometer,1523840734734,327018454172519,2.0070264,8.684341,5.589976
android.sensor.accelerometer,1523840734755,327018474271847,2.792593,8.832832,5.518125
android.sensor.accelerometer,1523840734773,327018494371175,3.7170706,9.010064,5.728887
android.sensor.accelerometer,1523840734793,327018514476403,4.430786,9.254355,5.9300685
android.sensor.accelerometer,1523840734814,327018534575859,4.8044095,9.718989,5.216353
android.sensor.accelerometer,1523840734835,327018554675443,6.0737696,10.197993,5.0487013
android.sensor.accelerometer,1523840734855,327018574774899,7.391031,10.341695,5.1061816
android.sensor.accelerometer,1523840734874,327018594874355,8.50711,10.236314,3.7218604
