Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1523840721725,327005409441315,-0.06862373,-0.04835769,-0.053024095
android.sensor.gyroscope,1523840721725,327005429541155,-0.086200595,-9.534235E-4,-0.025859851
android.sensor.gyroscope,1523840721746,327005449636296,-0.07608058,0.03846136,0.0114244055
android.sensor.gyroscope,1523840721760,327005469736008,-0.14905119,0.106105655,0.05296972
android.sensor.gyroscope,1523840721779,327005489835720,-0.18260702,0.075212985,0.06575289
android.sensor.gyroscope,1523840721803,327005509935432,-0.1639649,-0.0153344935,0.026338106
android.sensor.gyroscope,1523840721820,327005530035272,-0.13520275,-0.21134315,-0.057817783
android.sensor.gyroscope,1523840721842,327005550129218,-0.13094169,-0.2832485,-0.068470426
android.sensor.gyroscope,1523840721862,327005570228674,-0.20977126,-0.14689465,-0.009880884
android.sensor.gyroscope,1523840721883,327005590328258,-0.1772807,-0.09895775,0.04551287
android.sensor.gyroscope,1523840721902,327005610427842,-0.024947885,-0.19696207,0.014620199
android.sensor.gyroscope,1523840721922,327005630527426,0.09329647,-0.2731285,-0.011478781
android.sensor.gyroscope,1523840721942,327005650620543,0.09755752,-0.25608426,-0.009348252
android.sensor.gyroscope,1523840721964,327005670719871,0.0757196,-0.26034534,-0.031718805
android.sensor.gyroscope,1523840721982,327005690819199,0.0054121516,-0.21400632,0.08119923
android.sensor.gyroscope,1523840722002,327005710918527,-0.05477529,-0.42652658,0.19251937
android.sensor.gyroscope,1523840722022,327005731017855,-0.048383705,-0.96768093,0.229271
android.sensor.gyroscope,1523840722045,327005751115882,-0.068091094,-1.2670202,0.30117634
android.sensor.gyroscope,1523840722062,327005771215210,-0.06436267,-1.2579654,0.31182897
android.sensor.gyroscope,1523840722082,327005791314538,0.10767754,-1.3101635,0.19624779
android.sensor.gyroscope,1523840722102,327005811413866,0.3462968,-1.580208,-0.012544044
android.sensor.gyroscope,1523840722125,327005831513194,0.45495376,-1.8305452,-0.35928762
android.sensor.gyroscope,1523840722143,327005851602481,0.22325873,-1.6968545,-0.7965787
android.sensor.gyroscope,1523840722163,327005871701681,-0.29232925,-1.4955195,-1.1385286
android.sensor.gyroscope,1523840722185,327005891800753,-0.655404,-1.6148622,-1.3097986
android.sensor.gyroscope,1523840722207,327005911899953,-0.61865234,-2.125124,-1.432304
android.sensor.gyroscope,1523840722222,327005931999025,-0.5637912,-2.3269916,-1.7572098
android.sensor.gyroscope,1523840722243,327005952105722,-0.669785,-2.46228,-2.1119428
android.sensor.gyroscope,1523840722263,327005972205050,-1.1741878,-2.2758589,-2.3750632
android.sensor.gyroscope,1523840722286,327005992304378,-1.5470303,-2.3909073,-2.6211393
android.sensor.gyroscope,1523840722303,327006012403706,-1.6737968,-2.7664132,-2.8640194
android.sensor.gyroscope,1523840722323,327006032503034,-1.7488979,-3.1515062,-3.0499082
android.sensor.gyroscope,1523840722344,327006052608378,-1.5001587,-3.777349,-3.2480474
android.sensor.gyroscope,1523840722366,327006072707706,-1.0452907,-4.4165077,-3.2917233
android.sensor.gyroscope,1523840722384,327006092807162,-1.5129418,-3.5664268,-2.9135542
android.sensor.gyroscope,1523840722404,327006112906490,-2.4317324,-2.5842528,-2.48372
android.sensor.gyroscope,1523840722424,327006133005818,-2.5675538,-2.4612148,-2.4016948
android.sensor.gyroscope,1523840722446,327006153115648,-2.1185446,-2.7632172,-2.6690762
android.sensor.gyroscope,1523840722464,327006173215232,-1.5651398,-3.2266073,-3.0701482
android.sensor.gyroscope,1523840722484,327006193314816,-1.1193266,-3.4764118,-3.312496
android.sensor.gyroscope,1523840722504,327006213414400,-1.195493,-3.428475,-3.2491126
android.sensor.gyroscope,1523840722526,327006233513856,-1.7872474,-3.4247465,-2.8523016
android.sensor.gyroscope,1523840722545,327006253622418,-2.1606226,-3.447117,-2.5321896
android.sensor.gyroscope,1523840722566,327006273722130,-1.8437065,-2.975205,-2.2312524
android.sensor.gyroscope,1523840722585,327006293821970,-1.7739316,-1.9461595,-1.8690625
android.sensor.gyroscope,1523840722607,327006313921810,-1.9853866,-0.9698445,-1.2474806
android.sensor.gyroscope,1523840722625,327006334021650,-1.9816582,-0.48248607,-0.65679157
android.sensor.gyroscope,1523840722645,327006354121679,-1.6349146,-0.3887428,-0.49380612
android.sensor.gyroscope,1523840722665,327006374221519,-1.1704593,-0.34453434,-0.4964693
android.sensor.gyroscope,1523840722690,327006394321359,-0.7837632,-0.27157432,-0.37610132
android.sensor.gyroscope,1523840722706,327006414421199,-0.52170813,-0.23855112,-0.13481891
android.sensor.gyroscope,1523840722726,327006434521039,-0.2910784,-0.20233214,0.23855628
android.sensor.gyroscope,1523840722746,327006454622048,-0.23568463,-0.13681838,0.68916315
android.sensor.gyroscope,1523840722768,327006474721888,-0.122233965,-0.0430751,1.1392374
android.sensor.gyroscope,1523840722786,327006494821728,0.4162572,-0.0414772,1.4039556
android.sensor.gyroscope,1523840722806,327006514921568,0.9169315,-0.023367709,1.620737
android.sensor.gyroscope,1523840722826,327006535021408,1.2311845,0.23069787,2.0851922
android.sensor.gyroscope,1523840722849,327006555122662,1.4996312,0.6642605,2.6497824
android.sensor.gyroscope,1523840722866,327006575222502,1.6290607,1.0669304,3.1227598
android.sensor.gyroscope,1523840722886,327006595322342,1.6572903,1.1851748,3.5259624
android.sensor.gyroscope,1523840722906,327006615422182,1.7627515,1.079181,3.930763
android.sensor.gyroscope,1523840722929,327006635522022,2.1696825,0.9779809,4.4277086
android.sensor.gyroscope,1523840722947,327006655628920,2.318287,1.2336444,5.032779
android.sensor.gyroscope,1523840722966,327006675728888,2.417889,1.5548216,5.606424
android.sensor.gyroscope,1523840722987,327006695828856,2.5244155,1.8083545,5.915883
android.sensor.gyroscope,1523840723009,327006715928824,2.5137627,1.868542,5.5520954
android.sensor.gyroscope,1523840723027,327006736028920,2.3704848,1.59903,5.044497
android.sensor.gyroscope,1523840723047,327006756134441,2.288992,1.572931,5.2101455
android.sensor.gyroscope,1523840723067,327006776234665,2.1957815,2.2339277,5.4913754
android.sensor.gyroscope,1523840723091,327006796334889,1.8538316,2.7702885,5.082314
android.sensor.gyroscope,1523840723107,327006816435113,1.789383,2.2951806,4.2375593
