Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1523840929545,327213242532795,2.4716604,2.44292,10.442286
android.sensor.accelerometer,1523840929563,327213262639992,2.2369483,2.5147705,10.049502
android.sensor.accelerometer,1523840929580,327213282740600,1.8345851,2.567461,9.220825
android.sensor.accelerometer,1523840929592,327213302841080,2.0070264,2.6441016,8.636441
android.sensor.accelerometer,1523840929612,327213322941688,2.3423293,2.672842,8.990904
android.sensor.accelerometer,1523840929635,327213343042168,2.3135889,2.572251,9.522598
android.sensor.accelerometer,1523840929653,327213363143445,2.4333398,2.5051906,9.4507475
android.sensor.accelerometer,1523840929675,327213383244053,2.3758595,2.3998096,9.278306
android.sensor.accelerometer,1523840929694,327213403344661,1.8824854,2.1315675,9.283096
android.sensor.accelerometer,1523840929715,327213423445269,2.2177882,2.184258,8.928633
android.sensor.accelerometer,1523840929733,327213443545877,3.0177248,2.2417383,8.861572
android.sensor.accelerometer,1523840929754,327213463628742,3.0368848,2.0549269,9.307046
android.sensor.accelerometer,1523840929774,327213483728966,2.6967921,1.7339942,9.412427
android.sensor.accelerometer,1523840929796,327213503829190,2.3950195,1.5136524,9.915381
android.sensor.accelerometer,1523840929814,327213523929542,2.4620802,1.4370118,11.050621
android.sensor.accelerometer,1523840929834,327213544029766,2.572251,1.6381935,11.074571
android.sensor.accelerometer,1523840929854,327213564122578,2.3806496,1.949546,10.035132
android.sensor.accelerometer,1523840929877,327213584222674,1.8154249,2.2848487,8.885523
android.sensor.accelerometer,1523840929894,327213604322770,1.0538087,2.4956105,8.143066
android.sensor.accelerometer,1523840929915,327213624422994,0.364043,2.8740237,7.793394
android.sensor.accelerometer,1523840929934,327213644523090,0.0,3.3434474,7.7790236
android.sensor.accelerometer,1523840929957,327213664621650,-0.64186525,3.7027004,7.1227884
android.sensor.accelerometer,1523840929975,327213684721746,-2.193838,3.9661524,6.1743608
android.sensor.accelerometer,1523840929995,327213704821842,-3.535049,4.2439747,5.2977834
android.sensor.accelerometer,1523840930015,327213724921938,-3.67875,4.5313773,5.3552637
android.sensor.accelerometer,1523840930037,327213745022034,-2.193838,4.3349857,7.726333
android.sensor.accelerometer,1523840930055,327213765113236,1.4418018,5.0822315,10.93087
android.sensor.accelerometer,1523840930076,327213785213076,3.4679885,6.806646,11.539205
android.sensor.accelerometer,1523840930095,327213805313044,2.8883936,8.253238,10.768008
android.sensor.accelerometer,1523840930118,327213825412884,0.98195803,8.871153,11.520044
android.sensor.accelerometer,1523840930136,327213845512852,0.8909473,10.164463,10.897339
android.sensor.accelerometer,1523840930157,327213865608176,2.5099807,12.966637,7.429351
android.sensor.accelerometer,1523840930176,327213885707888,1.1160791,11.395503,4.6894484
android.sensor.accelerometer,1523840930198,327213905807600,-0.89573735,5.000801,1.0154883
android.sensor.accelerometer,1523840930219,327213925907312,4.641548,-1.1160791,-3.8080812
android.sensor.accelerometer,1523840930236,327213946007024,10.001602,-8.368198,-5.508545
android.sensor.accelerometer,1523840930256,327213966103377,13.43127,-21.200714,-7.558682
android.sensor.accelerometer,1523840930279,327213986203089,17.320782,-32.8932,8.344249
android.sensor.accelerometer,1523840930297,327214006302673,17.05254,-30.799952,30.59877
android.sensor.accelerometer,1523840930317,327214026402477,11.452984,-22.551504,28.05047
android.sensor.accelerometer,1523840930336,327214046502189,7.6353226,-17.17229,14.887442
android.sensor.accelerometer,1523840930359,327214066593142,10.197993,-11.8074465,7.9706254
android.sensor.accelerometer,1523840930377,327214086692470,10.394385,-6.725215,2.7446926
android.sensor.accelerometer,1523840930397,327214106791926,6.3132715,-3.9805226,-0.7951465
android.sensor.accelerometer,1523840930417,327214126891382,4.981641,-1.6190332,-2.5387208
android.sensor.accelerometer,1523840930439,327214146990838,6.0210795,0.98195803,-3.2572267
android.sensor.accelerometer,1523840930458,327214167096620,7.1371584,0.78556645,-2.955454
android.sensor.accelerometer,1523840930478,327214187196204,6.6773148,-0.93405765,1.336421
android.sensor.accelerometer,1523840930498,327214207295660,4.8427296,-2.9698243,8.760982
android.sensor.accelerometer,1523840930520,327214227395244,4.86189,-4.1146436,15.318545
android.sensor.accelerometer,1523840930538,327214247494828,6.255791,-4.368516,12.5738535
android.sensor.accelerometer,1523840930558,327214267586781,6.758745,-3.8080812,8.008945
android.sensor.accelerometer,1523840930578,327214287686109,6.959927,-3.3099172,9.80521
android.sensor.accelerometer,1523840930600,327214307785437,5.8198977,-2.7782228,9.80521
android.sensor.accelerometer,1523840930619,327214327884637,5.0726514,-2.088457,6.576724
android.sensor.accelerometer,1523840930638,327214347983965,6.1791506,-1.6621436,5.839058
android.sensor.accelerometer,1523840930658,327214368090967,6.6916847,-1.9303858,7.486831
android.sensor.accelerometer,1523840930681,327214388190423,6.7731156,-2.4716604,7.798184
android.sensor.accelerometer,1523840930698,327214408289751,5.8965383,-3.0799952,7.204219
android.sensor.accelerometer,1523840930721,327214428389207,5.240303,-3.3242872,7.4964113
android.sensor.accelerometer,1523840930739,327214448488663,5.6714063,-3.530259,8.018526
android.sensor.accelerometer,1523840930761,327214468588076,5.8198977,-3.4344583,8.52148
android.sensor.accelerometer,1523840930779,327214488687532,6.5336137,-2.9602442,8.296348
android.sensor.accelerometer,1523840930799,327214508786988,6.821016,-2.4668703,7.2760696
android.sensor.accelerometer,1523840930819,327214528886444,6.466553,-2.6967921,6.974297
android.sensor.accelerometer,1523840930841,327214548985772,6.241421,-2.6009912,7.27128
android.sensor.accelerometer,1523840930859,327214569092422,5.4223247,-2.6967921,7.8365045
android.sensor.accelerometer,1523840930879,327214589191878,5.024751,-2.4908204,7.5874224
android.sensor.accelerometer,1523840930899,327214609291462,5.254673,-2.0118165,6.2701616
android.sensor.accelerometer,1523840930921,327214629391046,6.586304,-1.7148341,6.13604
android.sensor.accelerometer,1523840930942,327214649490502,6.9790874,-1.7723145,7.1419487
