Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1523840861236,327144943197896,10.188414,0.6227051,1.4849122
android.sensor.accelerometer,1523840861252,327144963297608,10.202784,0.5412744,1.8345851
android.sensor.accelerometer,1523840861273,327144983397448,10.250684,0.488584,2.2465284
android.sensor.accelerometer,1523840861293,327145003497288,10.284214,0.50774413,2.074087
android.sensor.accelerometer,1523840861316,327145023600543,10.293795,0.5891748,1.7148341
android.sensor.accelerometer,1523840861334,327145043700511,10.279425,0.6179151,1.7148341
android.sensor.accelerometer,1523840861354,327145063800351,10.193204,0.5939649,1.6429834
android.sensor.accelerometer,1523840861376,327145083900319,9.632769,0.71371585,1.2070899
android.sensor.accelerometer,1523840861396,327145104000159,9.70941,0.6945557,1.096919
android.sensor.accelerometer,1523840861415,327145124115664,9.79563,0.6610254,1.341211
android.sensor.accelerometer,1523840861435,327145144215888,10.0063925,0.6227051,1.3939015
android.sensor.accelerometer,1523840861455,327145164316112,10.126143,0.57001466,1.0777588
android.sensor.accelerometer,1523840861478,327145184416464,9.939331,0.36883304,1.0154883
android.sensor.accelerometer,1523840861496,327145204516688,9.604029,0.28261232,1.2070899
android.sensor.accelerometer,1523840861516,327145224623915,8.890313,0.44547364,1.1879297
android.sensor.accelerometer,1523840861536,327145244724395,8.56459,1.6381935,3.2476466
android.sensor.accelerometer,1523840861558,327145264824875,13.656402,3.6068995,6.2701616
android.sensor.accelerometer,1523840861576,327145284925355,24.51542,6.183941,4.0859036
android.sensor.accelerometer,1523840861596,327145305025835,32.754288,8.732242,-1.3795313
android.sensor.accelerometer,1523840861616,327145325119586,32.395035,6.05461,-0.043110352
android.sensor.accelerometer,1523840861638,327145345220066,21.636608,1.705254,4.4355764
android.sensor.accelerometer,1523840861656,327145365320418,13.598922,-0.15328126,3.0177248
android.sensor.accelerometer,1523840861677,327145385420898,8.008945,-1.3747413,1.3891114
android.sensor.accelerometer,1523840861696,327145405521250,2.4620802,-3.4727786,0.39757326
android.sensor.accelerometer,1523840861719,327145425619261,-5.6761966,-6.8928666,-2.955454
android.sensor.accelerometer,1523840861736,327145445719613,-16.084951,-9.608819,-4.8666797
android.sensor.accelerometer,1523840861758,327145465819965,-19.62479,-10.820699,-1.1687696
android.sensor.accelerometer,1523840861776,327145485920445,-16.037052,-12.449312,5.3408937
android.sensor.accelerometer,1523840861798,327145506020797,-9.417217,-12.358301,6.246211
android.sensor.accelerometer,1523840861815,327145526119374,-1.331631,-9.393267,-0.90052736
android.sensor.accelerometer,1523840861835,327145546219726,8.904683,-3.3338673,-6.303692
android.sensor.accelerometer,1523840861855,327145566320078,22.527555,4.7086086,-5.637876
android.sensor.accelerometer,1523840861878,327145586420302,38.301155,11.908037,-1.3555812
android.sensor.accelerometer,1523840861895,327145606520654,48.93504,17.019009,5.5229154
android.sensor.accelerometer,1523840861916,327145626615337,49.050003,17.713566,9.704619
android.sensor.accelerometer,1523840861936,327145646710617,41.52485,13.948594,7.7598634
android.sensor.accelerometer,1523840861958,327145666810841,29.477901,7.5395217,4.382886
android.sensor.accelerometer,1523840861976,327145686911065,18.484762,1.2454102,2.5818312
android.sensor.accelerometer,1523840861996,327145707011161,10.935659,-4.014053,2.323169
android.sensor.accelerometer,1523840862016,327145727103120,3.4440382,-7.654483,1.9399658
android.sensor.accelerometer,1523840862038,327145747203088,-5.278623,-8.641231,0.1580713
