Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1523840401037,326685222145561,-0.41194338,9.81,3.7410207
android.sensor.accelerometer,1523840401062,326685242244761,-0.60354495,10.710527,3.6116896
android.sensor.accelerometer,1523840401062,326685262343961,-0.26345217,10.518927,3.8464015
android.sensor.accelerometer,1523840401082,326685282443161,-0.14849122,10.423125,3.8080812
android.sensor.accelerometer,1523840401103,326685302493028,-0.34488282,10.346485,4.248765
android.sensor.accelerometer,1523840401124,326685322591076,-0.17723145,10.245894,4.368516
android.sensor.accelerometer,1523840401142,326685342689252,-0.28261232,10.370435,3.8128712
android.sensor.accelerometer,1523840401163,326685362787428,-0.488584,10.356065,3.151846
android.sensor.accelerometer,1523840401183,326685382885604,-0.21076173,10.106983,3.0225148
android.sensor.accelerometer,1523840401204,326685403003024,-1.6238233,11.02188,2.8548634
android.sensor.accelerometer,1523840401224,326685423101584,-0.9436377,10.154883,2.6249416
android.sensor.accelerometer,1523840401243,326685443200016,-0.8143067,10.312955,2.42855
android.sensor.accelerometer,1523840401263,326685463298576,-0.9053174,10.154883,1.9399658
android.sensor.accelerometer,1523840401284,326685483397008,-0.8430469,9.7812605,1.5711329
android.sensor.accelerometer,1523840401305,326685503508642,-0.364043,8.962164,1.2741505
android.sensor.accelerometer,1523840401324,326685523607458,-1.1927198,9.388477,0.28740236
android.sensor.accelerometer,1523840401344,326685543706146,-1.5519727,7.913145,-0.6706055
android.sensor.accelerometer,1523840401364,326685563804962,-1.4944923,7.697593,-2.672842
android.sensor.accelerometer,1523840401385,326685583903650,-2.5099807,8.272398,-5.585186
android.sensor.accelerometer,1523840401405,326685604009829,-2.2608986,7.9083548,-6.3851223
android.sensor.accelerometer,1523840401424,326685624108645,-1.9255958,7.4197707,-4.157754
android.sensor.accelerometer,1523840401445,326685644207589,-2.1411476,7.33355,-2.0118165
android.sensor.accelerometer,1523840401464,326685664306405,-1.9782863,7.36708,-0.028740235
android.sensor.accelerometer,1523840401483,326685684405221,-1.7723145,7.6257424,2.2225783
android.sensor.accelerometer,1523840401504,326685704512613,-1.4034815,7.692803,2.6488917
android.sensor.accelerometer,1523840401525,326685724611685,0.37362307,7.3862405,3.0799952
android.sensor.accelerometer,1523840401545,326685744710629,-0.17723145,6.605464,4.033213
android.sensor.accelerometer,1523840401565,326685764809701,-0.8765772,6.13604,3.7218604
android.sensor.accelerometer,1523840401586,326685784908773,-0.21555176,5.9396486,2.6249416
android.sensor.accelerometer,1523840401608,326685805018018,0.033530276,6.452183,0.6658155
android.sensor.accelerometer,1523840401626,326685825117218,-0.2682422,6.236631,-1.336421
android.sensor.accelerometer,1523840401645,326685845216418,-0.3065625,5.345684,-1.7292042
android.sensor.accelerometer,1523840401666,326685865315618,0.100590825,3.7601807,-0.5604346
android.sensor.accelerometer,1523840401686,326685885414818,0.45984375,2.692002,0.16286133
android.sensor.accelerometer,1523840401706,326685905521064,0.244292,1.3939015,-0.6610254
android.sensor.accelerometer,1523840401726,326685925620392,0.34967285,-0.14370118,-1.4609619
android.sensor.accelerometer,1523840401746,326685945719720,0.46942386,-1.4944923,-1.1879297
android.sensor.accelerometer,1523840401766,326685965819048,0.27303225,-3.0704153,-0.023950197
android.sensor.accelerometer,1523840401787,326685985918376,-0.15328126,-4.550537,0.78556645
android.sensor.accelerometer,1523840401807,326686006025829,-0.6849756,-6.006709,0.82388675
android.sensor.accelerometer,1523840401827,326686026125413,0.8382569,-7.1706886,0.5843848
android.sensor.accelerometer,1523840401847,326686046224997,4.3206153,-7.668853,0.50774413
android.sensor.accelerometer,1523840401867,326686066324581,6.2701616,-8.5119,0.8286768
android.sensor.accelerometer,1523840401887,326686086424165,8.085587,-12.166699,2.907554
android.sensor.accelerometer,1523840401907,326686106523810,10.523716,-16.401094,6.7539554
android.sensor.accelerometer,1523840401927,326686126623522,11.941567,-18.949396,7.7694435
android.sensor.accelerometer,1523840401946,326686146723106,15.131734,-21.100122,7.8556643
android.sensor.accelerometer,1523840401967,326686166822690,17.368683,-23.528673,8.943004
android.sensor.accelerometer,1523840401987,326686186922402,19.313438,-25.75604,10.365645
android.sensor.accelerometer,1523840402007,326686207033878,22.767057,-28.270811,10.035132
android.sensor.accelerometer,1523840402027,326686227133846,28.05526,-31.959143,13.048067
android.sensor.accelerometer,1523840402047,326686247233814,28.874357,-33.640446,15.725698
android.sensor.accelerometer,1523840402068,326686267333910,24.898624,-35.49419,15.625108
android.sensor.accelerometer,1523840402088,326686287433878,23.07362,-34.703835,16.631016
android.sensor.accelerometer,1523840402110,326686307539551,20.932472,-32.68723,16.492105
android.sensor.accelerometer,1523840402129,326686327639775,20.908522,-29.956905,16.640596
android.sensor.accelerometer,1523840402148,326686347739999,20.122955,-26.431437,14.796432
android.sensor.accelerometer,1523840402168,326686367840223,17.478853,-23.911877,11.639795
android.sensor.accelerometer,1523840402189,326686387940575,14.398858,-22.115612,10.279425
android.sensor.accelerometer,1523840402208,326686408049503,11.405084,-20.046314,9.163345
android.sensor.accelerometer,1523840402229,326686428150111,10.859019,-17.852476,11.0123005
android.sensor.accelerometer,1523840402249,326686448250591,10.332115,-15.467037,12.933106
android.sensor.accelerometer,1523840402269,326686468351199,10.499766,-12.415782,12.851675
android.sensor.accelerometer,1523840402289,326686488451807,10.102193,-9.0148535,11.927197
android.sensor.accelerometer,1523840402309,326686508529535,6.9886675,-7.0413575,13.268409
android.sensor.accelerometer,1523840402329,326686528629375,3.6691701,-5.4127445,16.295713
android.sensor.accelerometer,1523840402349,326686548729087,0.8430469,-2.816543,16.631016
android.sensor.accelerometer,1523840402369,326686568828927,0.8813672,-1.2310401,14.62878
android.sensor.accelerometer,1523840402390,326686588928639,1.21188,-0.64186525,12.114009
android.sensor.accelerometer,1523840402409,326686609031820,1.1735597,0.244292,10.566827
android.sensor.accelerometer,1523840402429,326686629131788,2.2608986,0.8286768,11.02667
android.sensor.accelerometer,1523840402450,326686649231628,2.7303224,0.48379397,11.567945
android.sensor.accelerometer,1523840402470,326686669331596,1.8872755,-0.9484278,12.281661
android.sensor.accelerometer,1523840402490,326686689431564,0.82388675,-3.2859669,13.316309
android.sensor.accelerometer,1523840402510,326686709536032,-0.613125,-5.719307,13.129498
android.sensor.accelerometer,1523840402530,326686729636256,-0.5460645,-9.254355,13.790523
android.sensor.accelerometer,1523840402551,326686749736352,0.9388477,-12.822935,15.620318
android.sensor.accelerometer,1523840402571,326686769836576,3.1135256,-15.150894,16.808249
android.sensor.accelerometer,1523840402591,326686789936800,7.223379,-16.415464,17.426163
android.sensor.accelerometer,1523840402613,326686810040493,9.517808,-19.811602,16.97111
android.sensor.accelerometer,1523840402631,326686830140845,9.7142,-25.358467,19.682272
android.sensor.accelerometer,1523840402651,326686850241197,10.466236,-29.38689,22.273682
android.sensor.accelerometer,1523840402671,326686870341549,14.552139,-31.211895,23.954987
android.sensor.accelerometer,1523840402691,326686890442029,17.636925,-34.440384,25.823101
android.sensor.accelerometer,1523840402711,326686910523006,19.40445,-38.79453,30.713732
android.sensor.accelerometer,1523840402731,326686930622718,21.138443,-41.802673,34.12424
android.sensor.accelerometer,1523840402751,326686950722302,24.41004,-42.166718,31.68132
android.sensor.accelerometer,1523840402771,326686970821886,25.45427,-41.23745,29.34857
android.sensor.accelerometer,1523840402792,326686990921470,25.166866,-40.887775,29.602442
android.sensor.accelerometer,1523840402811,326687011019214,24.165749,-40.586002,29.176128
android.sensor.accelerometer,1523840402832,326687031116090,22.666466,-37.80778,27.825338
android.sensor.accelerometer,1523840402852,326687051215674,20.94205,-34.952915,27.001451
android.sensor.accelerometer,1523840402872,326687071315258,18.523083,-34.22483,25.420738
android.sensor.accelerometer,1523840402893,326687091414970,16.961529,-31.968721,22.08208
android.sensor.accelerometer,1523840402912,326687111523148,15.361656,-27.485245,18.005758
android.sensor.accelerometer,1523840402932,326687131622988,12.899576,-24.54416,16.152012
android.sensor.accelerometer,1523840402952,326687151722828,10.054293,-22.810167,14.097086
android.sensor.accelerometer,1523840402972,326687171822540,7.7646537,-19.155367,7.654483
android.sensor.accelerometer,1523840402997,326687191922380,5.5229154,-15.265855,2.926714
android.sensor.accelerometer,1523840403012,326687212021120,4.976851,-12.070899,-0.86220706
android.sensor.accelerometer,1523840403032,326687232120960,4.5936475,-8.665181,-4.2056546
android.sensor.accelerometer,1523840403058,326687252220672,4.2008643,-7.0126176,-4.9529004
android.sensor.accelerometer,1523840403072,326687272320512,3.9709425,-5.3121533,-6.696475
android.sensor.accelerometer,1523840403093,326687292420224,2.5530908,-3.7122805,-8.722662
android.sensor.accelerometer,1523840403119,326687312509801,0.75203615,-2.9937747,-8.487949
android.sensor.accelerometer,1523840403133,326687332609385,0.488584,-2.44771,-6.878496
android.sensor.accelerometer,1523840403153,326687352708969,0.30177248,-2.0549269,-6.6198344
android.sensor.accelerometer,1523840403179,326687372808553,0.41194338,-1.2166699,-8.952583
android.sensor.accelerometer,1523840403194,326687392908137,0.0047900393,-0.10538086,-12.262501
android.sensor.accelerometer,1523840403213,326687413003577,-0.9963282,1.22146,-13.924644
android.sensor.accelerometer,1523840403234,326687433103161,-0.5221143,1.7723145,-11.941567
android.sensor.accelerometer,1523840403254,326687453202745,-0.100590825,2.42376,-10.437495
android.sensor.accelerometer,1523840403274,326687473302201,-1.0585986,2.7111623,-10.566827
android.sensor.accelerometer,1523840403294,326687493401785,-1.6573536,3.271597,-9.201666
android.sensor.accelerometer,1523840403314,326687513499402,-1.7292042,4.296665,-8.746612
android.sensor.accelerometer,1523840403334,326687533598986,-1.4992822,4.5744877,-8.957374
android.sensor.accelerometer,1523840403354,326687553698442,-1.092129,5.245093,-8.54064
android.sensor.accelerometer,1523840403374,326687573797898,-1.0394385,5.7815776,-7.7359133
