Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1523840412522,326696718962184,-0.2280807,-0.05189638,0.11685621
android.sensor.gyroscope,1523840412539,326696739061640,-0.26856077,0.04504269,0.1067362
android.sensor.gyroscope,1523840412559,326696759165509,-0.26483232,0.023204764,0.11312778
android.sensor.gyroscope,1523840412578,326696779265093,-0.17321959,-0.124334365,0.101409875
android.sensor.gyroscope,1523840412599,326696799364677,-0.10024898,-0.16694494,0.08436564
android.sensor.gyroscope,1523840412619,326696819464261,-0.09758582,-0.09823538,0.08063722
android.sensor.gyroscope,1523840412640,326696839563973,-0.10291214,-0.08971327,0.08116985
android.sensor.gyroscope,1523840412663,326696859674193,-0.13967016,-0.1296478,0.077449515
android.sensor.gyroscope,1523840412681,326696879774033,-0.21796711,-0.09609196,0.09183059
android.sensor.gyroscope,1523840412701,326696899874001,-0.24885978,-0.098222494,0.10940745
android.sensor.gyroscope,1523840412721,326696919973841,-0.24566397,-0.1445615,0.10887482
android.sensor.gyroscope,1523840412741,326696940073809,-0.24087028,-0.17279102,0.12485378
android.sensor.gyroscope,1523840412761,326696960176721,-0.2856114,-0.18504156,0.15681173
android.sensor.gyroscope,1523840412781,326696980276817,-0.36603886,-0.17492154,0.16852963
android.sensor.gyroscope,1523840412802,326697000376785,-0.32981986,-0.24682689,0.11952746
android.sensor.gyroscope,1523840412822,326697020476753,-0.16896494,-0.47426087,0.045491584
android.sensor.gyroscope,1523840412842,326697040576721,0.011597386,-0.49716404,-0.073818035
android.sensor.gyroscope,1523840412862,326697060678097,0.2693914,-0.048155066,-0.13720126
android.sensor.gyroscope,1523840412882,326697080775324,0.50215167,0.5505236,-0.17555079
android.sensor.gyroscope,1523840412902,326697100875420,0.7775225,0.709248,-0.38167945
android.sensor.gyroscope,1523840412922,326697120975516,1.069405,0.7854144,-0.7225641
android.sensor.gyroscope,1523840412942,326697141075612,1.3714075,1.1023306,-0.87862533
android.sensor.gyroscope,1523840412963,326697161178232,2.052644,1.3372214,-0.9755644
android.sensor.gyroscope,1523840412983,326697181278328,2.8366785,1.1768991,-1.0245665
android.sensor.gyroscope,1523840413003,326697201378552,3.321374,0.9654441,-1.1497352
android.sensor.gyroscope,1523840413023,326697221478648,3.6212459,1.1225706,-1.3361565
android.sensor.gyroscope,1523840413043,326697241578872,3.7607956,1.6972808,-1.4272366
android.sensor.gyroscope,1523840413063,326697261681297,3.8822358,1.8677231,-1.3516028
android.sensor.gyroscope,1523840413083,326697281781521,4.0675917,1.5252405,-1.338287
android.sensor.gyroscope,1523840413104,326697301881745,4.1448236,1.3990067,-1.4464113
android.sensor.gyroscope,1523840413123,326697321982097,3.9568043,1.7175208,-1.5406872
android.sensor.gyroscope,1523840413143,326697342082321,3.6974123,2.0839717,-1.5220451
android.sensor.gyroscope,1523840413166,326697362171854,3.5999358,2.212346,-1.3499986
android.sensor.gyroscope,1523840413184,326697382271950,3.5754347,2.1223314,-1.1657078
android.sensor.gyroscope,1523840413203,326697402372046,3.5061924,1.7638698,-1.1092488
android.sensor.gyroscope,1523840413223,326697422472142,3.3730345,1.3500146,-1.0618445
android.sensor.gyroscope,1523840413245,326697442572366,3.1195016,1.1907575,-0.94306755
android.sensor.gyroscope,1523840413263,326697462659042,2.9155035,1.1731807,-0.91377276
